name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Ryan Meisinger,BAL,--,--,67.50,--,--,--,--,--,--,0.2,1,5,5,1,0,0,0,1.50,.500,https://www.mlb.com/player/664682
Troy Scribner,ARI,--,--,9.00,--,--,--,--,--,--,1.0,0,1,1,0,0,0,2,0.00,.000,https://www.mlb.com/player/644428
Tim Collins,WSH,--,--,18.00,--,--,--,--,--,--,1.0,3,2,2,1,0,0,1,3.00,.500,https://www.mlb.com/player/525768
Ivan Nova,PIT,--,--,12.46,--,--,--,--,--,--,4.1,1,11,6,1,0,1,4,0.46,.077,https://www.mlb.com/player/467100
Connor Sadzeck,TEX,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/592712
Matt Magill,MIN,--,--,5.40,--,--,--,--,--,--,3.1,1,2,2,0,0,1,3,0.60,.125,https://www.mlb.com/player/543483
Jon Edwards,CLE,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/457754
Gabriel Moya,MIN,--,--,13.50,--,--,--,--,--,--,0.2,0,1,1,0,0,0,0,0.00,.000,https://www.mlb.com/player/622382
Trevor Richards,MIA,--,--,30.00,--,--,--,--,--,--,3.0,1,10,10,0,0,1,3,0.67,.111,https://www.mlb.com/player/670950
Trevor Bauer,CLE,--,--,10.13,--,--,--,--,--,--,2.2,1,5,3,0,0,2,3,1.13,.111,https://www.mlb.com/player/545333
Jeff Samardzija,SF,--,--,0.00,--,--,--,--,--,--,1.1,0,0,0,0,0,0,1,0.00,.000,https://www.mlb.com/player/502188
Sammy Solis,WSH,--,--,87.75,--,--,--,--,--,--,1.1,5,13,13,1,0,1,1,4.50,.556,https://www.mlb.com/player/519301
Robbie Ray,ARI,--,--,13.50,--,--,--,--,--,--,4.0,3,6,6,0,0,0,8,0.75,.214,https://www.mlb.com/player/592662
Chris Flexen,NYM,--,--,18.00,--,--,--,--,--,--,1.0,1,2,2,0,0,0,1,1.00,.333,https://www.mlb.com/player/623167
Chris Tillman,TEX,--,--,-.--,--,--,--,--,--,--,0.0,1,5,5,1,0,0,0,-.--,1.000,https://www.mlb.com/player/501957
Tim Mayza,TOR,--,--,7.71,--,--,--,--,--,--,2.1,1,2,2,0,0,0,4,0.43,.125,https://www.mlb.com/player/641835
Mike Wright,BAL,--,--,36.00,--,--,--,--,--,--,3.0,3,13,12,1,1,0,3,1.00,.333,https://www.mlb.com/player/605541
Phil Hughes,SD,--,--,4.50,--,--,--,--,--,--,2.0,0,1,1,0,0,0,4,0.00,.000,https://www.mlb.com/player/461833
JT Chargois,LAD,--,--,-.--,--,--,--,--,--,--,0.0,1,0,0,0,0,0,0,-.--,1.000,https://www.mlb.com/player/608638
Brandon Mann,TEX,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/448167
Hunter Wood,TB,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/621056
Sergio Romo,TB,--,--,31.91,--,--,--,--,--,--,3.2,8,13,13,2,0,2,6,2.73,.471,https://www.mlb.com/player/489265
Yacksel Rios,PHI,--,--,27.00,--,--,--,--,--,--,1.0,3,3,3,0,0,0,0,3.00,.600,https://www.mlb.com/player/605441
Mike Fiers,OAK,--,--,0.00,--,--,--,--,--,--,2.2,0,1,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/571666
Justin Miller,WSH,--,--,4.91,--,--,--,--,--,--,3.2,0,2,2,0,0,0,3,0.00,.000,https://www.mlb.com/player/502522
Robby Scott,BOS,--,--,0.00,--,--,--,--,--,--,0.2,2,0,0,0,0,0,0,3.00,.500,https://www.mlb.com/player/582494
Anibal Sanchez,ATL,--,--,15.00,--,--,--,--,--,--,3.0,1,5,5,0,0,0,1,0.33,.143,https://www.mlb.com/player/434671
Jarlin Garcia,MIA,--,--,5.40,--,--,--,--,--,--,1.2,2,1,1,0,0,0,0,1.20,.500,https://www.mlb.com/player/606424
Danny Coulombe,OAK,--,--,0.00,--,--,--,--,--,--,1.1,1,0,0,0,0,0,1,0.75,.250,https://www.mlb.com/player/543056
Joe Biagini,TOR,--,--,20.25,--,--,--,--,--,--,4.0,2,10,9,0,1,1,1,0.75,.182,https://www.mlb.com/player/607352
Felix Hernandez,SEA,--,--,54.00,--,--,--,--,--,--,1.2,1,10,10,0,0,1,1,1.20,.167,https://www.mlb.com/player/433587
Jace Fry,CWS,--,--,36.00,--,--,--,--,--,--,2.0,1,9,8,0,0,0,4,0.50,.125,https://www.mlb.com/player/605240
Wander Suero,WSH,--,--,7.71,--,--,--,--,--,--,2.1,2,2,2,0,0,0,2,0.86,.250,https://www.mlb.com/player/593833
Miguel Castro,BAL,--,--,39.00,--,--,--,--,--,--,3.0,2,13,13,1,0,1,1,1.00,.250,https://www.mlb.com/player/612434
Randy Rosario,CHC,--,--,47.25,--,--,--,--,--,--,1.1,3,8,7,1,0,1,3,3.00,.429,https://www.mlb.com/player/600968
Vidal Nuno,TB,--,--,0.00,--,--,--,--,--,--,1.2,1,0,0,0,0,1,2,1.20,.200,https://www.mlb.com/player/573064
