name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Erik Kratz,MIL,--,--,0.00,--,--,--,--,--,--,0.1,1,0,0,0,0,0,0,3.00,.500,https://www.mlb.com/player/456124
John Brebbia,STL,--,--,1.50,--,--,--,--,--,--,6.0,2,1,1,1,0,9,11,1.83,.105,https://www.mlb.com/player/605154
Mike Hauschild,TOR,--,--,0.00,--,--,--,--,--,--,0.2,2,0,0,0,0,2,1,6.00,.500,https://www.mlb.com/player/623434
Domingo German,NYY,--,--,4.50,--,--,--,--,--,--,8.0,5,4,4,3,1,13,13,2.25,.179,https://www.mlb.com/player/593334
Luis Severino,NYY,--,--,2.35,--,--,--,--,--,--,23.0,10,6,6,2,0,25,37,1.52,.132,https://www.mlb.com/player/622663
Sam Freeman,ATL,--,--,2.25,--,--,--,--,--,--,8.0,2,2,2,0,0,13,10,1.88,.080,https://www.mlb.com/player/518693
Blaine Hardy,DET,--,--,3.97,--,--,--,--,--,--,11.1,4,5,5,1,0,13,12,1.50,.108,https://www.mlb.com/player/543278
Mike Leake,SEA,--,--,1.65,--,--,--,--,--,--,16.1,12,3,3,0,0,19,19,1.90,.200,https://www.mlb.com/player/502190
Justin Shafer,TOR,--,--,0.00,--,--,--,--,--,--,0.1,1,0,0,0,0,2,0,9.00,.500,https://www.mlb.com/player/596101
Kenta Maeda,LAD,--,--,3.75,--,--,--,--,--,--,12.0,5,6,5,2,0,16,17,1.75,.125,https://www.mlb.com/player/628317
Dan Winkler,ATL,--,--,0.87,--,--,--,--,--,--,10.1,3,2,1,1,0,12,17,1.45,.088,https://www.mlb.com/player/595465
Charlie Morton,HOU,--,--,3.24,--,--,--,--,--,--,16.2,13,7,6,0,1,42,24,3.30,.210,https://www.mlb.com/player/450203
Pedro Strop,CHC,--,--,4.50,--,--,--,--,--,--,4.0,3,2,2,0,0,6,5,2.25,.200,https://www.mlb.com/player/467008
Artie Lewicki,ARI,--,--,3.86,--,--,--,--,--,--,4.2,2,2,2,1,0,3,6,1.07,.133,https://www.mlb.com/player/592499
Addison Reed,MIN,--,--,4.05,--,--,--,--,--,--,6.2,5,3,3,1,0,8,7,1.95,.208,https://www.mlb.com/player/592665
Jake Thompson,MIL,--,--,0.00,--,--,--,--,--,--,1.0,0,0,0,0,0,5,2,5.00,.000,https://www.mlb.com/player/622097
Tyler Thornburg,BOS,--,--,7.36,--,--,--,--,--,--,3.2,4,3,3,1,0,5,6,2.45,.286,https://www.mlb.com/player/592804
Greg Holland,WSH,--,--,27.00,--,--,--,--,--,--,1.2,8,6,5,0,0,13,2,12.60,.615,https://www.mlb.com/player/518813
Jace Fry,CWS,--,--,2.25,--,--,--,--,--,--,8.0,1,2,2,0,0,12,18,1.63,.040,https://www.mlb.com/player/605240
Cliff Pennington,TEX,--,--,0.00,--,--,--,--,--,--,0.1,0,0,0,0,0,2,1,6.00,.000,https://www.mlb.com/player/460060
John Axford,LAD,--,--,5.40,--,--,--,--,--,--,6.2,4,4,4,1,0,12,10,2.40,.182,https://www.mlb.com/player/446099
Trevor Cahill,OAK,--,--,4.91,--,--,--,--,--,--,14.2,7,8,8,2,0,23,17,2.05,.140,https://www.mlb.com/player/502239
Koda Glover,WSH,--,--,9.00,--,--,--,--,--,--,1.0,2,1,1,0,0,4,1,6.00,.400,https://www.mlb.com/player/606983
Brandon Kintzler,CHC,--,--,24.30,--,--,--,--,--,--,3.1,9,9,9,1,0,10,2,5.70,.474,https://www.mlb.com/player/445213
Matt Magill,MIN,--,--,3.68,--,--,--,--,--,--,7.1,8,3,3,1,0,11,9,2.59,.267,https://www.mlb.com/player/543483
Tyler Danish,CWS,--,--,13.50,--,--,--,--,--,--,1.1,2,2,2,1,0,3,1,3.75,.333,https://www.mlb.com/player/641501
Joakim Soria,MIL,--,--,2.16,--,--,--,--,--,--,8.1,5,2,2,1,0,12,14,2.04,.156,https://www.mlb.com/player/465657
Joe Kelly,BOS,--,--,2.08,--,--,--,--,--,--,13.0,5,3,3,0,0,23,19,2.15,.119,https://www.mlb.com/player/523260
Zack Weiss,CIN,--,--,-.--,--,--,--,--,--,--,0.0,0,2,2,0,0,0,0,-,.000,https://www.mlb.com/player/592848
Matt Bush,TEX,--,--,0.00,--,--,--,--,--,--,1.1,1,0,0,0,0,8,1,6.75,.200,https://www.mlb.com/player/456713
Jeff Hoffman,COL,--,--,27.00,--,--,--,--,--,--,0.1,2,1,1,0,0,4,0,18.00,.667,https://www.mlb.com/player/656546
Tyler Beede,SF,--,--,27.00,--,--,--,--,--,--,0.2,1,2,2,0,0,5,1,9.00,.333,https://www.mlb.com/player/595881
Christian Bergman,SEA,--,--,27.00,--,--,--,--,--,--,0.2,2,2,2,1,0,2,0,6.00,.500,https://www.mlb.com/player/548357
Josh Rogers,BAL,--,--,27.00,--,--,--,--,--,--,1.0,2,3,3,1,0,4,0,6.00,.400,https://www.mlb.com/player/642028
Anthony Banda,TB,--,--,6.75,--,--,--,--,--,--,1.1,0,1,1,0,0,3,3,2.25,.000,https://www.mlb.com/player/607455
Clayton Kershaw,LAD,--,--,2.93,--,--,--,--,--,--,15.1,11,5,5,0,0,20,23,2.02,.193,https://www.mlb.com/player/477132
Carson Smith,BOS,--,--,3.38,--,--,--,--,--,--,2.2,1,1,1,0,0,3,3,1.50,.111,https://www.mlb.com/player/605476
Zack Wheeler,NYM,--,--,1.40,--,--,--,--,--,--,19.1,12,3,3,1,0,32,25,2.28,.176,https://www.mlb.com/player/554430
David Paulino,TOR,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,0,0,0.00,.000,https://www.mlb.com/player/600944
Lucas Giolito,CWS,--,--,6.41,--,--,--,--,--,--,19.2,15,14,14,4,0,42,22,2.90,.203,https://www.mlb.com/player/608337
Jameson Taillon,PIT,--,--,5.40,--,--,--,--,--,--,18.1,12,11,11,4,0,24,30,1.96,.182,https://www.mlb.com/player/592791
Randall Delgado,ARI,--,--,6.75,--,--,--,--,--,--,1.1,1,1,1,1,0,2,1,2.25,.167,https://www.mlb.com/player/517414
Kolby Allard,ATL,--,--,81.00,--,--,--,--,--,--,0.1,5,3,3,1,0,1,0,18.00,.833,https://www.mlb.com/player/663465
Doug Fister,TEX,--,--,5.63,--,--,--,--,--,--,8.0,9,5,5,0,0,7,8,2.00,.273,https://www.mlb.com/player/450729
Kyle Crockett,CIN,--,--,0.00,--,--,--,--,--,--,1.2,1,0,0,0,0,0,3,0.60,.167,https://www.mlb.com/player/641490
Carlos Ramirez,OAK,--,--,0.00,--,--,--,--,--,--,1.1,1,0,0,0,0,6,0,5.25,.200,https://www.mlb.com/player/570702
Steven Wright,BOS,--,--,2.45,--,--,--,--,--,--,3.2,1,1,1,0,0,9,4,2.73,.077,https://www.mlb.com/player/453214
Luke Weaver,STL,--,--,4.50,--,--,--,--,--,--,14.0,12,7,7,1,0,26,22,2.71,.235,https://www.mlb.com/player/596133
Randy Rosario,CHC,--,--,1.69,--,--,--,--,--,--,5.1,3,2,1,0,0,8,3,2.06,.158,https://www.mlb.com/player/600968
Brian Flynn,KC,--,--,4.15,--,--,--,--,--,--,8.2,4,6,4,0,0,16,12,2.31,.129,https://www.mlb.com/player/543169
Joe Jimenez,DET,--,--,4.15,--,--,--,--,--,--,8.2,4,4,4,0,0,11,13,1.73,.133,https://www.mlb.com/player/641729
Drew Pomeranz,BOS,--,--,5.11,--,--,--,--,--,--,12.1,9,7,7,3,0,19,15,2.27,.196,https://www.mlb.com/player/519141
David Price,BOS,--,--,1.93,--,--,--,--,--,--,18.2,6,5,4,1,1,28,31,1.82,.100,https://www.mlb.com/player/456034
Stephen Gonsalves,MIN,--,--,4.50,--,--,--,--,--,--,2.0,2,1,1,0,0,15,2,8.50,.250,https://www.mlb.com/player/624427
Louis Coleman,DET,--,--,2.25,--,--,--,--,--,--,8.0,6,2,2,1,0,12,13,2.25,.200,https://www.mlb.com/player/488786
Reyes Moronta,SF,--,--,0.00,--,--,--,--,--,--,10.0,1,0,0,0,0,11,13,1.20,.032,https://www.mlb.com/player/606625
Dean Deetz,HOU,--,--,27.00,--,--,--,--,--,--,0.1,1,1,1,1,0,1,0,6.00,.500,https://www.mlb.com/player/657209
Stephen Tarpley,NYY,--,--,0.00,--,--,--,--,--,--,0.2,0,0,0,0,0,4,2,6.00,.000,https://www.mlb.com/player/605501
Seth Lugo,NYM,--,--,2.77,--,--,--,--,--,--,13.0,3,4,4,2,0,15,17,1.38,.075,https://www.mlb.com/player/607625
Brandon Finnegan,CIN,--,--,0.00,--,--,--,--,--,--,1.1,2,0,0,0,0,6,0,6.00,.286,https://www.mlb.com/player/605232
Sean Manaea,OAK,--,--,4.00,--,--,--,--,--,--,9.0,12,4,4,1,0,17,12,3.22,.308,https://www.mlb.com/player/640455
Junior Guerra,MIL,--,--,6.75,--,--,--,--,--,--,13.1,10,10,10,3,0,20,18,2.25,.213,https://www.mlb.com/player/448855
Thomas Pannone,TOR,--,--,0.00,--,--,--,--,--,--,5.2,4,0,0,0,0,8,4,2.12,.190,https://www.mlb.com/player/623381
Emilio Pagan,OAK,--,--,4.26,--,--,--,--,--,--,6.1,5,3,3,0,0,7,8,1.89,.208,https://www.mlb.com/player/641941
Marc Rzepczynski,SEA,--,--,9.00,--,--,--,--,--,--,1.0,2,2,1,0,0,6,1,8.00,.500,https://www.mlb.com/player/519240
Ryan Tepera,TOR,--,--,1.04,--,--,--,--,--,--,8.2,4,1,1,0,0,12,13,1.85,.138,https://www.mlb.com/player/572193
Jose Berrios,MIN,--,--,1.29,--,--,--,--,--,--,21.0,9,3,3,0,0,32,34,1.95,.127,https://www.mlb.com/player/621244
Arodys Vizcaino,ATL,--,--,2.08,--,--,--,--,--,--,4.1,2,1,1,0,0,3,3,1.15,.133,https://www.mlb.com/player/527055
Jared Hughes,CIN,--,--,1.23,--,--,--,--,--,--,7.1,7,1,1,1,0,13,9,2.73,.250,https://www.mlb.com/player/453172
Archie Bradley,ARI,--,--,6.43,--,--,--,--,--,--,7.0,6,5,5,1,0,10,11,2.29,.222,https://www.mlb.com/player/605151
Marcus Stroman,TOR,--,--,3.24,--,--,--,--,--,--,8.1,17,4,3,0,1,15,10,3.84,.405,https://www.mlb.com/player/573186
Robert Gsellman,NYM,--,--,2.45,--,--,--,--,--,--,7.1,5,2,2,0,0,11,11,2.18,.179,https://www.mlb.com/player/607229
Tim Mayza,TOR,--,--,5.40,--,--,--,--,--,--,3.1,4,2,2,0,0,8,4,3.60,.308,https://www.mlb.com/player/641835
Ben Meyer,MIA,--,--,0.00,--,--,--,--,--,--,2.0,0,0,0,0,1,6,1,3.00,.000,https://www.mlb.com/player/656738
Ryan Brasier,BOS,--,--,13.50,--,--,--,--,--,--,2.2,4,4,4,2,0,5,4,3.38,.400,https://www.mlb.com/player/518489
Ryan Yarbrough,TB,--,--,2.38,--,--,--,--,--,--,11.1,9,3,3,0,0,30,17,3.44,.205,https://www.mlb.com/player/642232
Zack Britton,NYY,--,--,1.80,--,--,--,--,--,--,5.0,3,2,1,0,0,9,7,2.40,.158,https://www.mlb.com/player/502154
Joey Lucchesi,SD,--,--,3.24,--,--,--,--,--,--,16.2,9,6,6,2,0,26,30,2.10,.155,https://www.mlb.com/player/664192
Brad Hand,CLE,--,--,3.00,--,--,--,--,--,--,9.0,5,3,3,2,0,13,15,2.00,.167,https://www.mlb.com/player/543272
