name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Josh Spence,SD,--,--,5.27,--,--,--,--,--,--,13.2,2,8,8,1,0,9,14,0.80,.050,https://www.mlb.com/player/543805
Andy Sonnanstine,TB,--,--,8.56,--,--,--,--,--,--,13.2,14,13,13,1,0,8,2,1.61,.311,https://www.mlb.com/player/458567
Duane Below,DET,--,--,8.78,--,--,--,--,--,--,13.1,14,15,13,1,1,7,5,1.58,.286,https://www.mlb.com/player/502102
Joey Devine,OAK,--,--,6.08,--,--,--,--,--,--,13.1,9,9,9,0,1,7,15,1.20,.205,https://www.mlb.com/player/457733
Danys Baez,PHI,--,--,16.20,--,--,--,--,--,--,13.1,24,27,24,4,2,7,5,2.33,.414,https://www.mlb.com/player/276056
Randall Delgado,ATL,--,--,5.54,--,--,--,--,--,--,13.0,13,9,8,2,1,4,8,1.31,.265,https://www.mlb.com/player/517414
J.C. Romero,COL,--,--,7.62,--,--,--,--,--,--,13.0,9,14,11,1,0,9,9,1.38,.209,https://www.mlb.com/player/240694
Edgmer Escalona,COL,--,--,1.38,--,--,--,--,--,--,13.0,4,2,2,0,0,4,5,0.62,.100,https://www.mlb.com/player/467850
Pedro Strop,BAL,--,--,3.55,--,--,--,--,--,--,12.2,6,5,5,0,1,6,10,0.95,.158,https://www.mlb.com/player/467008
Jordan Smith,CIN,--,--,9.95,--,--,--,--,--,--,12.2,19,14,14,1,0,6,7,1.97,.404,https://www.mlb.com/player/502136
Joba Chamberlain,NYY,--,--,5.68,--,--,--,--,--,--,12.2,11,9,8,2,0,2,9,1.03,.268,https://www.mlb.com/player/501955
Trever Miller,BOS,--,--,5.84,--,--,--,--,--,--,12.1,8,8,8,1,2,10,6,1.46,.200,https://www.mlb.com/player/119125
Marcos Mateo,CHC,--,--,8.03,--,--,--,--,--,--,12.1,12,11,11,2,0,5,11,1.38,.279,https://www.mlb.com/player/456496
Ramon Pena,CWS,--,--,9.49,--,--,--,--,--,--,12.1,14,14,13,1,0,6,11,1.62,.292,https://www.mlb.com/player/430963
Michael Kirkman,TEX,--,--,11.68,--,--,--,--,--,--,12.1,12,18,16,1,3,4,7,1.30,.267,https://www.mlb.com/player/457779
Eduardo Sanchez,STL,--,--,4.50,--,--,--,--,--,--,12.0,6,6,6,1,0,8,11,1.17,.171,https://www.mlb.com/player/500674
Tommy Milone,WSH,--,--,7.50,--,--,--,--,--,--,12.0,11,10,10,1,1,3,8,1.17,.282,https://www.mlb.com/player/543548
Fernando Abad,HOU,--,--,10.80,--,--,--,--,--,--,11.2,15,16,14,3,0,4,8,1.63,.319,https://www.mlb.com/player/472551
Dana Eveland,LAD,--,--,7.71,--,--,--,--,--,--,11.2,10,10,10,1,1,3,5,1.11,.278,https://www.mlb.com/player/445968
Tim Dillard,MIL,--,--,8.49,--,--,--,--,--,--,11.2,13,11,11,1,1,2,9,1.29,.295,https://www.mlb.com/player/457422
Ryan Franklin,STL,--,--,14.66,--,--,--,--,--,--,11.2,18,20,19,2,0,5,5,1.97,.400,https://www.mlb.com/player/211041
Lance Lynn,STL,--,--,8.49,--,--,--,--,--,--,11.2,12,11,11,2,0,6,11,1.54,.293,https://www.mlb.com/player/458681
Takashi Saito,MIL,--,--,3.18,--,--,--,--,--,--,11.1,9,4,4,0,1,6,7,1.32,.237,https://www.mlb.com/player/493416
Troy Patton,BAL,--,--,8.18,--,--,--,--,--,--,11.0,13,10,10,2,0,3,9,1.45,.310,https://www.mlb.com/player/461856
Liam Hendriks,MIN,--,--,12.27,--,--,--,--,--,--,11.0,16,15,15,2,0,2,8,1.64,.372,https://www.mlb.com/player/521230
Brad Lidge,PHI,--,--,2.53,--,--,--,--,--,--,10.2,8,3,3,0,1,7,14,1.41,.216,https://www.mlb.com/player/400058
Willie Eyre,BAL,--,--,6.10,--,--,--,--,--,--,10.1,5,7,7,2,0,1,6,0.58,.156,https://www.mlb.com/player/425466
Carlos Fisher,CIN,--,--,9.58,--,--,--,--,--,--,10.1,11,14,11,2,0,7,7,1.74,.289,https://www.mlb.com/player/457567
Randy Choate,FLA,--,--,2.61,--,--,--,--,--,--,10.1,6,5,3,1,2,9,12,1.45,.167,https://www.mlb.com/player/329092
