,pitcher_id
1030,518692
1031,592200
1032,570714
1033,460284
1034,457425
1035,460026
1036,607776
1037,519184
1038,111851
1039,459411
1040,502032
1041,469802
1042,460004
1043,514917
1044,448200
1045,621111
1046,545333
1047,607471
1048,518865
1049,446454
1050,570666
1051,572073
1052,595375
1053,663905
1054,489334
1055,455687
1056,578428
1057,150421
1058,475479
1059,543271
1060,664926
1061,469810
1062,430900
1063,502171
1064,542266
1065,543900
1066,433582
1067,444371
1068,607223
1069,598271
1070,454998
1071,608648
1072,605177
1073,668663
1074,573166
1075,571800
1076,621563
1077,543193
1078,460252
1079,502213
1080,592669
1081,592570
1082,605137
1083,457454
1084,656514
1085,623395
1086,499856
1087,646240
1088,665926
1089,448676
1090,430574
1091,400018
1092,664913
1093,642715
1094,150040
1095,573262
1096,457447
1097,656555
1098,435624
1099,571786
1100,592325
1101,451788
1102,503556
1103,676220
1104,477165
1105,407397
1106,282567
1107,452121
1108,489149
1109,400085
1110,213711
1111,453454
1112,543426
1113,606192
1114,502154
1115,657140
1116,641513
1117,545064
1118,459334
1119,489294
1120,456899
1121,592454
1122,451109
1123,666971
1124,621529
1125,621550
1126,543652
1127,150407
1128,477132
1129,434884
1130,501852
1131,435065
1132,446653
1133,400073
1134,445197
1135,669087
1136,543647
1137,489119
1138,460579
1139,501981
1140,400067
1141,501941
1142,666560
1143,668804
1144,600968
1145,458094
1146,514913
1147,451216
1148,624133
1149,474699
1150,461314
1151,429664
1152,408213
1153,500872
1154,572125
1155,519388
1156,150137
1157,445926
1158,444884
1159,641793
1160,592547
1161,425532
1162,276361
1163,592826
1164,669134
1165,641598
1166,544930
1167,488787
1168,475243
1169,592407
1170,400098
1171,662253
1172,111867
1173,501992
1174,666158
1175,430599
1176,488776
1177,150456
1178,660623
1179,518790
1180,605155
1181,456167
1182,621094
1183,400158
1184,660853
1185,455077
1186,594762
1187,217915
1188,150275
1189,430912
1190,572889
1191,641627
1192,656509
1193,641355
1194,621381
1195,662139
1196,150479
1197,664028
1198,592102
1199,474668
1200,592120
1201,664167
1202,656371
1203,500721
1204,400095
1205,456714
1206,276371
1207,514639
1208,518977
1209,455949
1210,595918
1211,112736
1212,408234
1213,541600
1214,572102
1215,665120
1216,519306
1217,516853
1218,455759
