,batter_id
548,605396
549,464416
550,623433
551,592254
552,608371
553,460072
554,467785
555,543548
556,432934
557,572971
558,592741
559,572017
560,621052
561,622786
562,504186
563,573589
564,622382
565,622503
566,643329
567,543964
568,572193
569,571858
570,605164
571,572821
572,276055
573,670280
574,465657
575,605151
576,643615
577,622694
578,607162
579,621281
580,592330
581,673633
582,450172
583,499877
584,519151
585,656322
586,434633
587,445163
588,150249
589,115629
590,570240
591,519175
592,475115
593,668683
594,517414
595,644428
596,666622
597,452764
598,543031
599,425562
600,596112
601,554374
602,605486
603,592865
604,456662
605,119469
606,453531
607,462515
608,595798
609,502285
610,487675
611,119215
612,500674
613,475095
614,593969
615,593833
616,592094
617,657277
618,548384
619,150348
620,425835
621,488683
622,400291
623,605194
624,488818
625,460657
626,400104
627,502165
628,642231
629,488674
630,489267
631,641816
632,448602
633,502033
634,455117
635,592145
636,113296
637,543208
638,119984
639,622097
640,543901
641,592169
642,457779
643,463645
644,518533
645,446481
646,456043
647,453385
648,542194
649,501638
650,455376
651,471896
652,462382
653,407835
654,445156
655,501687
656,607030
657,542432
658,623434
659,518693
660,657044
661,502253
662,457786
663,518582
664,543054
665,605452
666,446488
667,608678
668,460008
669,605200
670,620445
671,594902
672,642121
673,592779
674,476011
675,448614
676,572119
677,592238
678,571510
679,606424
680,592644
681,639373
682,334492
683,407297
684,150359
685,425772
686,425848
687,517451
688,425530
689,605488
690,607352
691,451482
692,656186
693,669160
694,457581
695,570632
696,570714
697,460284
698,457425
699,459411
700,502032
701,469802
702,448200
703,621111
704,545333
705,489400
706,518865
707,446454
708,570666
709,489334
710,475479
711,543271
712,430900
713,502171
714,542266
715,543900
716,444371
717,607223
718,598271
719,608648
720,605177
721,444992
722,573166
723,571800
724,642083
725,664141
726,543193
727,592570
728,623395
729,499856
730,430574
731,457447
732,571786
733,451788
734,676220
735,282567
736,213711
737,400085
738,453454
739,622490
740,543426
741,502154
742,657140
743,641513
744,545064
745,595928
746,489294
747,456899
748,592454
749,547942
750,543652
751,434884
752,477132
753,150407
754,501852
755,445197
756,489119
757,400067
758,642203
759,600968
760,458094
761,642546
762,514913
763,642584
764,451216
765,624133
766,474699
767,500872
768,572125
769,445926
770,444884
771,641793
772,592547
773,669373
774,425532
775,592826
776,641598
777,544930
778,488787
779,475243
780,592407
781,662253
782,656876
783,501992
784,665621
785,430599
786,488776
787,660623
788,518790
789,605155
790,456167
791,621094
792,660853
793,455077
794,594762
795,430912
796,572889
797,641627
798,621381
799,150479
800,664028
801,592102
802,474668
803,592120
804,434666
805,547568
806,500721
807,276371
808,514639
809,595918
810,455949
811,676979
812,669424
813,572102
814,665120
815,516853
816,457468
817,663366
818,592836
819,664714
820,434442
821,623184
822,591693
823,466412
824,620982
825,642545
826,544993
827,435221
828,621261
829,573188
830,642098
831,534947
832,450527
833,592279
834,488846
835,605154
836,598287
837,452293
838,661440
839,592662
840,467100
841,519259
842,433578
843,620446
844,650738
845,641745
846,518655
847,664129
848,608348
849,460024
850,650530
851,656420
852,500610
853,471911
854,134321
855,430963
856,518614
857,430605
858,641743
859,449170
860,543178
861,502226
862,462089
863,453381
864,621385
865,641838
866,474599
867,663567
868,571057
869,675921
870,453311
871,642840
872,444468
873,668665
874,150122
875,466918
876,543017
877,462102
878,434679
879,445193
880,542923
881,543070
882,276547
883,469097
884,641995
885,573046
886,435622
887,407819
888,641438
889,641571
890,613317
891,452733
892,664126
893,547749
894,502609
895,543495
896,444446
897,573204
898,663765
899,434565
900,457461
901,624427
902,458537
903,667465
904,656353
905,445246
906,453172
907,332292
908,459939
909,635903
910,275933
911,497807
912,434540
913,596143
914,491646
915,448159
916,595235
917,519141
918,622250
919,449774
920,608700
921,489295
922,458567
923,547348
924,450832
925,572070
926,518713
927,542587
928,594987
929,459429
930,503569
931,150221
932,641360
933,240694
934,457508
935,594992
936,547820
937,207267
938,572751
939,621350
940,519145
941,592135
942,519295
943,518782
944,607320
945,666674
946,656354
947,460131
948,547179
949,213680
950,514981
951,465629
952,518875
953,571656
954,457448
955,605397
956,448609
957,459988
958,453562
959,605540
960,658551
961,660600
962,547874
963,516414
964,516969
965,502522
966,621044
967,621532
968,594798
969,605121
970,664045
971,429717
972,453186
973,435044
974,543819
975,450729
976,623454
977,650813
978,519437
979,502202
980,666204
981,501985
982,605135
983,656738
984,462522
985,572990
986,592170
987,518863
988,543766
989,434563
990,606983
991,543734
992,623354
993,642100
994,641541
995,460104
996,643256
997,607179
998,518972
999,621290
1000,600917
1001,430935
1002,571787
1003,408211
1004,650895
1005,433586
1006,685493
1007,425487
1008,219194
1009,449777
1010,657024
1011,621058
1012,657681
1013,501563
1014,596101
1015,606162
1016,579799
1017,593582
1018,518444
1019,506648
1020,621121
1021,641835
1022,661403
1023,450351
1024,501593
1025,642239
1026,596043
1027,628333
1028,468396
1029,596035
1030,594951
1031,592464
1032,621237
1033,466459
1034,491703
1035,621112
1036,664285
1037,120485
1038,408206
1039,515052
1040,660271
1041,541652
1042,605479
1043,621097
1044,452237
1045,641576
1046,493337
1047,553878
1048,519085
1049,622703
1050,624407
1051,553872
1052,621141
1053,596451
1054,518617
1055,453198
1056,453889
1057,459345
1058,663978
1059,346798
1060,593679
1061,454535
1062,435619
1063,445971
1064,607968
1065,518553
1066,663855
1067,621209
1068,641871
1069,572089
1070,543606
1071,641501
1072,592791
1073,519110
1074,605335
1075,602083
1076,640464
1077,456776
1078,595465
1079,643478
1080,450203
1081,518560
1082,607215
1083,621397
1084,502188
1085,657097
1086,516684
1087,460366
1088,211041
1089,623437
1090,502457
1091,643354
1092,641540
