,0
168,https://baseballsavant.mlb.com/savant-player/643532
169,https://baseballsavant.mlb.com/savant-player/543805
170,https://baseballsavant.mlb.com/savant-player/461325
171,https://baseballsavant.mlb.com/savant-player/608566
172,https://baseballsavant.mlb.com/savant-player/642067
173,https://baseballsavant.mlb.com/savant-player/543272
174,https://baseballsavant.mlb.com/savant-player/641771
175,https://baseballsavant.mlb.com/savant-player/656271
176,https://baseballsavant.mlb.com/savant-player/519405
177,https://baseballsavant.mlb.com/savant-player/657610
178,https://baseballsavant.mlb.com/savant-player/656232
179,https://baseballsavant.mlb.com/savant-player/571963
180,https://baseballsavant.mlb.com/savant-player/429901
181,https://baseballsavant.mlb.com/savant-player/605156
182,https://baseballsavant.mlb.com/savant-player/450545
183,https://baseballsavant.mlb.com/savant-player/444836
184,https://baseballsavant.mlb.com/savant-player/469690
185,https://baseballsavant.mlb.com/savant-player/448179
186,https://baseballsavant.mlb.com/savant-player/571539
187,https://baseballsavant.mlb.com/savant-player/543294
188,https://baseballsavant.mlb.com/savant-player/430641
189,https://baseballsavant.mlb.com/savant-player/408072
190,https://baseballsavant.mlb.com/savant-player/592390
191,https://baseballsavant.mlb.com/savant-player/607216
192,https://baseballsavant.mlb.com/savant-player/572888
193,https://baseballsavant.mlb.com/savant-player/446264
194,https://baseballsavant.mlb.com/savant-player/641312
195,https://baseballsavant.mlb.com/savant-player/592533
196,https://baseballsavant.mlb.com/savant-player/452259
197,https://baseballsavant.mlb.com/savant-player/408069
198,https://baseballsavant.mlb.com/savant-player/448855
199,https://baseballsavant.mlb.com/savant-player/476454
200,https://baseballsavant.mlb.com/savant-player/449060
201,https://baseballsavant.mlb.com/savant-player/506606
202,https://baseballsavant.mlb.com/savant-player/592340
203,https://baseballsavant.mlb.com/savant-player/501925
204,https://baseballsavant.mlb.com/savant-player/452737
205,https://baseballsavant.mlb.com/savant-player/453344
206,https://baseballsavant.mlb.com/savant-player/408061
207,https://baseballsavant.mlb.com/savant-player/407113
208,https://baseballsavant.mlb.com/savant-player/543243
209,https://baseballsavant.mlb.com/savant-player/448252
210,https://baseballsavant.mlb.com/savant-player/602922
211,https://baseballsavant.mlb.com/savant-player/667498
212,https://baseballsavant.mlb.com/savant-player/612434
213,https://baseballsavant.mlb.com/savant-player/657611
214,https://baseballsavant.mlb.com/savant-player/538506
215,https://baseballsavant.mlb.com/savant-player/605538
216,https://baseballsavant.mlb.com/savant-player/407822
