id,season_played,type,W,L,ERA,G,GS,SV,IP,SO,WHIP
605483,2020,most recent,4.0,2.0,3.24,11.0,11.0,0.0,50.0,63.0,NA
605483,5 Seasons,career,42.0,30.0,3.24,108.0,108.0,0.0,556.0,648.0,1.24
150274,2016,most recent,2.0,0.0,0.00,10.0,0.0,0.0,6.1,9.0,NA
150274,16 Seasons,career,64.0,34.0,2.87,787.0,29.0,377.0,923.1,976.0,1.12
592527,2016,most recent,1.0,0.0,5.82,25.0,0.0,2.0,21.2,23.0,NA
592527,3 Seasons,career,2.0,0.0,5.98,44.0,0.0,2.0,49.2,45.0,1.59
516935,2015,most recent,0.0,1.0,3.97,8.0,0.0,0.0,11.1,7.0,NA
516935,3 Seasons,career,2.0,2.0,4.39,33.0,0.0,0.0,53.1,54.0,1.35
658792,2019,most recent,0.0,0.0,7.31,8.0,0.0,0.0,16.0,11.0,NA
658792,3 Seasons,career,1.0,1.0,6.88,14.0,3.0,0.0,35.1,28.0,1.58
605447,2020,most recent,2.0,1.0,1.23,15.0,0.0,2.0,14.2,21.0,NA
605447,2 Seasons,career,2.0,3.0,4.50,32.0,0.0,2.0,30.0,42.0,1.30
469159,2014,most recent,0.0,0.0,10.80,2.0,0.0,0.0,1.2,1.0,NA
469159,6 Seasons,career,5.0,7.0,4.31,150.0,0.0,11.0,150.1,151.0,1.54
448802,2018,most recent,3.0,7.0,5.82,33.0,14.0,0.0,82.0,73.0,NA
448802,10 Seasons,career,70.0,62.0,3.85,218.0,188.0,0.0,1135.0,925.0,1.32
621363,2019,most recent,5.0,5.0,4.70,51.0,0.0,2.0,51.2,72.0,NA
621363,1 Season,career,5.0,5.0,4.70,51.0,0.0,2.0,51.2,72.0,1.01
519105,2013,most recent,12.0,8.0,3.97,32.0,32.0,0.0,197.0,134.0,NA
519105,3 Seasons,career,25.0,16.0,3.68,62.0,62.0,0.0,384.0,275.0,1.24
543169,2019,most recent,2.0,2.0,5.22,11.0,1.0,0.0,29.1,22.0,NA
543169,6 Seasons,career,6.0,12.0,4.41,102.0,7.0,1.0,187.2,134.0,1.58
452240,2011,most recent,1.0,2.0,3.03,36.0,0.0,0.0,32.2,13.0,NA
452240,4 Seasons,career,8.0,3.0,3.95,85.0,0.0,0.0,86.2,67.0,1.55
542953,2019,most recent,0.0,3.0,4.05,28.0,1.0,0.0,20.0,26.0,NA
542953,4 Seasons,career,3.0,3.0,4.49,128.0,1.0,0.0,106.1,104.0,1.32
448694,2012,most recent,1.0,2.0,5.34,12.0,4.0,0.0,28.2,14.0,NA
448694,5 Seasons,career,28.0,32.0,4.08,98.0,86.0,0.0,529.0,345.0,1.39
543343,2019,most recent,0.0,0.0,0.00,6.0,0.0,0.0,3.1,5.0,NA
543343,1 Season,career,0.0,0.0,0.00,6.0,0.0,0.0,3.1,5.0,1.80
502026,2020,most recent,4.0,1.0,1.54,22.0,0.0,8.0,23.1,17.0,NA
502026,11 Seasons,career,32.0,12.0,3.08,414.0,1.0,52.0,424.1,387.0,1.32
518468,2019,most recent,0.0,0.0,7.20,4.0,0.0,0.0,5.0,0.0,NA
518468,5 Seasons,career,8.0,6.0,4.50,113.0,1.0,0.0,128.0,104.0,1.48
669270,2020,most recent,1.0,0.0,6.00,3.0,0.0,0.0,3.0,3.0,NA
669270,2 Seasons,career,2.0,0.0,4.97,14.0,0.0,0.0,12.2,12.0,1.34
425827,2013,most recent,2.0,4.0,5.40,18.0,7.0,0.0,55.0,32.0,NA
425827,9 Seasons,career,69.0,81.0,4.91,225.0,200.0,0.0,1231.0,961.0,1.41
573186,2019,most recent,10.0,13.0,3.22,32.0,32.0,0.0,184.1,159.0,NA
573186,6 Seasons,career,51.0,47.0,3.76,146.0,140.0,1.0,849.1,695.0,1.29
517593,2019,most recent,0.0,1.0,4.50,1.0,1.0,0.0,4.0,2.0,NA
517593,6 Seasons,career,38.0,34.0,3.82,109.0,105.0,0.0,591.1,688.0,1.27
607644,2020,most recent,2.0,4.0,4.53,10.0,10.0,0.0,43.2,42.0,NA
607644,3 Seasons,career,14.0,15.0,3.97,42.0,37.0,0.0,202.0,167.0,1.11
133225,2013,most recent,8.0,9.0,4.57,32.0,29.0,0.0,171.1,157.0,NA
133225,16 Seasons,career,132.0,133.0,4.35,579.0,351.0,87.0,2387.0,2075.0,1.43
615868,2016,most recent,0.0,0.0,3.86,3.0,0.0,0.0,2.1,2.0,NA
615868,1 Season,career,0.0,0.0,3.86,3.0,0.0,0.0,2.1,2.0,1.29
544727,2020,most recent,2.0,0.0,3.71,25.0,0.0,0.0,26.2,23.0,NA
544727,9 Seasons,career,23.0,21.0,3.20,434.0,1.0,124.0,439.1,455.0,1.30
425840,2015,most recent,1.0,0.0,3.41,68.0,0.0,0.0,63.1,58.0,NA
425840,10 Seasons,career,21.0,24.0,3.96,483.0,5.0,4.0,443.1,421.0,1.35
571676,2020,most recent,0.0,0.0,16.88,2.0,0.0,0.0,2.2,0.0,NA
571676,2 Seasons,career,0.0,1.0,13.50,3.0,0.0,0.0,4.2,2.0,2.57
607237,2020,most recent,1.0,0.0,2.45,21.0,0.0,1.0,18.1,26.0,NA
607237,4 Seasons,career,10.0,13.0,4.89,172.0,14.0,1.0,208.0,238.0,1.40
459415,2012,most recent,0.0,0.0,2.89,9.0,0.0,0.0,9.1,6.0,NA
459415,2 Seasons,career,0.0,0.0,4.05,17.0,0.0,0.0,13.1,8.0,1.73
518813,2020,most recent,3.0,0.0,1.91,28.0,0.0,6.0,28.1,31.0,NA
518813,10 Seasons,career,27.0,22.0,2.90,494.0,0.0,212.0,487.1,619.0,1.18
606625,2019,most recent,3.0,7.0,2.86,56.0,0.0,0.0,56.2,70.0,NA
606625,3 Seasons,career,8.0,9.0,2.66,132.0,0.0,1.0,128.1,160.0,1.20
527055,2019,most recent,1.0,0.0,2.25,4.0,0.0,1.0,4.0,6.0,NA
527055,7 Seasons,career,13.0,11.0,3.01,206.0,0.0,50.0,194.1,218.0,1.29
600526,2017,most recent,7.0,4.0,4.21,62.0,0.0,1.0,68.1,63.0,NA
600526,2 Seasons,career,7.0,4.0,4.04,66.0,0.0,1.0,71.1,66.0,1.18
519381,2020,most recent,0.0,0.0,0.00,3.0,0.0,0.0,4.1,5.0,NA
519381,5 Seasons,career,2.0,2.0,4.73,61.0,0.0,0.0,72.1,58.0,1.24
451585,2012,most recent,0.0,1.0,9.00,1.0,0.0,0.0,1.0,0.0,NA
451585,3 Seasons,career,4.0,4.0,4.95,72.0,0.0,2.0,63.2,48.0,1.59
656605,2020,most recent,1.0,1.0,2.91,5.0,5.0,0.0,21.2,16.0,NA
656605,2 Seasons,career,2.0,6.0,5.81,16.0,16.0,0.0,69.2,81.0,1.65
622075,2020,most recent,3.0,0.0,2.93,24.0,0.0,1.0,27.2,23.0,NA
622075,3 Seasons,career,3.0,1.0,3.89,66.0,0.0,1.0,76.1,66.0,1.35
605254,2018,most recent,0.0,3.0,5.18,5.0,5.0,0.0,24.1,12.0,NA
605254,2 Seasons,career,4.0,14.0,5.91,23.0,23.0,0.0,115.2,84.0,1.56
445204,2012,most recent,0.0,0.0,0.00,1.0,0.0,0.0,0.2,2.0,NA
445204,1 Season,career,0.0,0.0,0.00,1.0,0.0,0.0,0.2,2.0,3.00
451132,2013,most recent,1.0,0.0,3.18,10.0,0.0,0.0,11.1,5.0,NA
451132,2 Seasons,career,1.0,1.0,4.60,27.0,0.0,0.0,29.1,23.0,1.88
460059,2017,most recent,3.0,12.0,5.93,34.0,21.0,0.0,120.0,79.0,NA
460059,12 Seasons,career,68.0,103.0,4.68,275.0,256.0,1.0,1476.1,838.0,1.51
605894,2016,most recent,1.0,2.0,5.60,27.0,0.0,0.0,35.1,34.0,NA
605894,2 Seasons,career,4.0,5.0,6.68,34.0,7.0,0.0,66.0,62.0,1.48
501697,2018,most recent,0.0,0.0,5.63,8.0,0.0,0.0,8.0,3.0,NA
501697,5 Seasons,career,1.0,5.0,3.56,103.0,0.0,0.0,134.0,102.0,1.50
547943,2020,most recent,5.0,2.0,2.69,12.0,12.0,0.0,67.0,72.0,NA
547943,7 Seasons,career,59.0,35.0,2.95,138.0,137.0,1.0,807.1,737.0,1.16
607536,2020,most recent,2.0,3.0,4.33,13.0,13.0,0.0,70.2,46.0,NA
607536,4 Seasons,career,33.0,32.0,4.17,101.0,96.0,0.0,533.1,405.0,1.40
543506,2018,most recent,0.0,4.0,7.76,37.0,0.0,1.0,31.1,31.0,NA
543506,6 Seasons,career,16.0,31.0,5.36,289.0,21.0,36.0,371.0,326.0,1.44
594986,2020,most recent,1.0,0.0,5.17,18.0,0.0,1.0,15.2,11.0,NA
594986,6 Seasons,career,13.0,8.0,3.87,177.0,7.0,1.0,204.2,139.0,1.35
543101,2020,most recent,1.0,2.0,7.22,9.0,7.0,0.0,33.2,25.0,NA
543101,6 Seasons,career,37.0,39.0,4.29,125.0,115.0,0.0,656.1,582.0,1.29
503444,2016,most recent,0.0,7.0,4.88,22.0,9.0,0.0,62.2,37.0,NA
503444,1 Season,career,0.0,7.0,4.88,22.0,9.0,0.0,62.2,37.0,1.39
572362,2020,most recent,0.0,0.0,8.10,9.0,5.0,0.0,26.2,25.0,NA
572362,7 Seasons,career,13.0,20.0,4.85,115.0,43.0,0.0,339.2,274.0,1.29
460069,2013,most recent,0.0,2.0,11.05,4.0,2.0,0.0,7.1,5.0,NA
460069,5 Seasons,career,51.0,45.0,4.16,129.0,127.0,0.0,801.1,622.0,1.40
543542,2017,most recent,4.0,5.0,3.74,13.0,13.0,0.0,67.1,75.0,NA
543542,3 Seasons,career,5.0,8.0,4.63,22.0,19.0,0.0,95.1,107.0,1.46
407860,2010,most recent,2.0,2.0,4.70,44.0,0.0,1.0,38.1,31.0,NA
407860,5 Seasons,career,27.0,17.0,4.23,102.0,58.0,1.0,370.0,216.0,1.43
400008,2010,most recent,0.0,0.0,22.50,2.0,0.0,0.0,2.0,1.0,NA
400008,6 Seasons,career,9.0,13.0,4.75,231.0,0.0,2.0,242.1,143.0,1.59
472551,2019,most recent,0.0,2.0,4.15,21.0,0.0,0.0,13.0,9.0,NA
472551,9 Seasons,career,8.0,29.0,3.67,384.0,6.0,2.0,330.2,280.0,1.29
425786,2015,most recent,1.0,1.0,6.86,23.0,0.0,0.0,19.2,12.0,NA
425786,9 Seasons,career,17.0,11.0,3.63,298.0,1.0,3.0,346.2,253.0,1.20
605463,2019,most recent,0.0,0.0,14.33,13.0,2.0,0.0,16.1,14.0,NA
605463,1 Season,career,0.0,0.0,14.33,13.0,2.0,0.0,16.1,14.0,2.57
425844,2020,most recent,3.0,3.0,4.03,12.0,12.0,0.0,67.0,67.0,NA
425844,17 Seasons,career,208.0,126.0,3.37,500.0,459.0,1.0,2939.0,2689.0,1.16
643778,2020,most recent,1.0,1.0,2.08,21.0,0.0,1.0,21.2,19.0,NA
643778,4 Seasons,career,3.0,3.0,3.69,117.0,0.0,2.0,105.0,90.0,1.19
607219,2020,most recent,1.0,0.0,0.00,2.0,0.0,0.0,1.1,0.0,NA
607219,4 Seasons,career,15.0,19.0,5.14,69.0,41.0,2.0,250.1,194.0,1.46
518452,2019,most recent,1.0,6.0,6.08,39.0,3.0,1.0,63.2,42.0,NA
518452,7 Seasons,career,31.0,31.0,5.12,164.0,92.0,1.0,600.2,431.0,1.47
592705,2019,most recent,0.0,0.0,27.00,3.0,0.0,1.0,1.1,2.0,NA
592705,3 Seasons,career,1.0,1.0,5.97,33.0,0.0,1.0,34.2,33.0,1.44
285064,2016,most recent,3.0,7.0,4.81,24.0,14.0,0.0,82.1,61.0,NA
285064,12 Seasons,career,61.0,75.0,4.48,289.0,179.0,0.0,1190.0,900.0,1.41
500765,2017,most recent,1.0,1.0,9.00,10.0,1.0,0.0,13.0,20.0,NA
500765,2 Seasons,career,1.0,1.0,9.15,16.0,1.0,0.0,19.2,23.0,1.93
623352,2020,most recent,1.0,2.0,3.79,21.0,0.0,13.0,19.0,31.0,NA
623352,4 Seasons,career,12.0,11.0,2.54,172.0,0.0,62.0,223.2,380.0,0.86
434578,2014,most recent,0.0,5.0,6.70,14.0,8.0,0.0,43.0,23.0,NA
434578,10 Seasons,career,89.0,86.0,4.37,235.0,229.0,0.0,1387.1,792.0,1.42
448857,2011,most recent,0.0,0.0,7.11,8.0,0.0,0.0,6.1,5.0,NA
448857,4 Seasons,career,1.0,3.0,5.28,43.0,0.0,0.0,46.0,41.0,1.70
429715,2013,most recent,2.0,2.0,4.83,46.0,3.0,0.0,50.1,40.0,NA
429715,4 Seasons,career,9.0,9.0,5.23,82.0,26.0,0.0,192.2,132.0,1.40
136734,2013,most recent,0.0,0.0,13.50,6.0,0.0,0.0,4.2,4.0,NA
136734,15 Seasons,career,59.0,50.0,3.78,758.0,34.0,109.0,951.0,1143.0,1.24
656685,2020,most recent,1.0,1.0,1.84,15.0,0.0,0.0,14.2,8.0,NA
656685,2 Seasons,career,3.0,4.0,4.21,66.0,2.0,0.0,77.0,70.0,1.39
543921,2016,most recent,0.0,1.0,10.80,1.0,1.0,0.0,5.0,3.0,NA
543921,4 Seasons,career,1.0,6.0,6.32,12.0,10.0,0.0,52.2,39.0,1.52
545363,2018,most recent,0.0,1.0,20.25,5.0,1.0,0.0,6.2,3.0,NA
