id,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Strike %,Swing %,Whiff %,Meatball %,Meatball Swing %
607200,2018,945.0,44.5,60.7,83.9,25.0,62.6,42.3,55.3,40.8,23.3,6.3,69.5
607200,2019,1287.0,43.6,65.6,89.4,25.6,71.0,45.8,59.0,43.0,16.8,6.9,78.7
607200,2020,850.0,43.8,65.6,88.9,23.0,75.5,44.0,61.7,41.6,15.3,6.2,71.7
607200,ALL,3380.0,44.6,63.4,87.4,24.7,70.4,44.8,59.8,42.0,18.1,6.5,72.9
607200,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
545001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664869,2018,135.0,44.4,66.7,90.0,21.3,62.5,33.3,42.1,41.5,17.9,12.6,76.5
664869,ALL,135.0,44.4,66.7,90.0,21.3,62.5,33.3,42.1,41.5,17.9,12.6,76.5
664869,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
642564,2017,1027.0,49.0,66.0,79.2,23.7,43.5,40.5,59.0,44.4,30.5,8.7,78.7
642564,ALL,1027.0,49.0,66.0,79.2,23.7,43.5,40.5,59.0,44.4,30.5,8.7,78.7
642564,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
615698,2019,1781.0,43.4,70.6,82.2,31.5,69.7,43.0,57.3,48.5,22.3,6.2,76.6
615698,2020,504.0,43.8,62.4,83.3,30.4,61.6,45.4,65.9,44.4,25.0,5.6,67.9
615698,ALL,2285.0,43.5,68.8,82.5,31.2,68.0,43.5,59.3,47.6,22.9,6.1,74.8
615698,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
596133,2016,682.0,47.7,68.0,81.9,25.8,67.4,40.3,56.3,45.9,22.4,7.6,78.8
596133,2017,1046.0,50.6,68.8,81.2,23.6,62.8,46.7,59.9,46.5,23.5,6.9,81.9
596133,2018,2386.0,50.6,67.6,81.6,24.3,66.1,45.2,60.1,46.2,22.4,6.9,80.6
596133,2019,1053.0,48.2,67.5,80.2,26.8,59.6,41.2,61.9,46.4,26.0,6.4,85.1
596133,2020,968.0,51.0,71.3,81.0,23.2,56.4,45.1,60.2,47.7,24.9,7.9,85.5
596133,ALL,6135.0,50.0,68.4,81.2,24.6,63.0,44.2,60.0,46.5,23.6,7.1,82.2
596133,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
460597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623364,2018,93.0,57.0,54.7,75.9,27.5,54.5,48.4,50.0,43.0,30.0,5.4,80.0
623364,2019,633.0,48.8,68.9,77.9,25.6,57.8,39.3,64.9,46.8,27.7,9.0,71.9
623364,2020,20.0,40.0,62.5,80.0,8.3,0.0,45.0,40.0,30.0,33.3,15.0,66.7
623364,ALL,746.0,49.6,66.8,77.7,25.3,56.8,40.6,62.1,45.8,28.1,8.7,72.3
623364,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
622663,2015,1025.0,50.0,62.4,83.1,27.1,62.6,41.6,63.1,44.8,23.1,9.3,70.5
622663,2016,1269.0,48.1,62.3,83.2,26.1,64.0,43.9,59.3,43.6,22.8,6.3,85.0
