id,Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,HardHit%,K%,BB%,Whiff%,xERA,FB Velo,FB Spin,CB Spin
516769,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597113,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597113,2019.0, , , , , , , , , , , , , ,53.0,62.0,70.0
519455,2015.0, 45, 29, 34, 40, 60, 17, 73, 68, 50, 45, 93, 21, 45,64.0,79.0,52.0
519455,2016.0, 25, 22, 13, 11, 52, 31, 37, 65, 54, 9, 82, 8, 25,46.0,82.0,42.0
519455,2017.0, 8, 5, 4, 7, 20, 2, 16, 6, 32, 8, 84, 8, 8,42.0,74.0,48.0
519455,2018.0, 29, 25, 9, 4, 71, 4, 5, 26, 25, 35, 94, 20, 29,27.0,66.0,41.0
519455,2019.0, 5, 3, 4, 7, 20, 9, 13, 12, 33, 8, 93, 12, 5,16.0,51.0,32.0
519455,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446372,2015.0, 75, 67, 60, 51, 82, 6, 33, 53, 53, 87, 88, 80, 75,61.0,63.0,71.0
446372,2016.0, 82, 81, 74, 64, 87, 12, 48, 89, 81, 84, 69, 83, 82,54.0,70.0,76.0
446372,2017.0, 95, 88, 88, 84, 97, 24, 62, 91, 79, 97, 96, 92, 95,29.0,83.0,70.0
446372,2018.0, 81, 62, 58, 56, 94, 8, 49, 59, 58, 72, 98, 64, 81,19.0,88.0,71.0
446372,2019.0, , , , , , , , , , , , , ,14.0,71.0,57.0
446372,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518886,2015.0, 99, 99, 99, 91, 97, 85, 60, 73, 95, 99, 18, 99, 99,98.0,96.0,86.0
518886,2016.0, 87, 99, 94, 64, 75, 91, 54, 11, 63, 99, 1, 97, 87,98.0,94.0,70.0
518886,2017.0, 99, 100, 89, 53, 99, 54, 0, 0, 0, 100, 92, 100, 99,98.0,89.0,71.0
518886,2018.0, 92, 98, 95, 81, 81, 68, 7, 26, 69, 99, 6, 99, 92,96.0,77.0,67.0
518886,2019.0, , , , , , , , , , , , , ,90.0,64.0,55.0
518886,2020.0, , , , , , , , , , , , , ,94.0,46.0,55.0
499107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595345,2016.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
