id,Year,Pitch Type,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
592773,2019.0, Slider,-0.1,0.0,306.0,23.5,61.0,0.246,0.386,0.289,45.5,32.8,24.7,0.215,0.31,0.249,21.1
592773,2019.0, Splitter,-0.6,-2.0,269.0,20.7,68.0,0.094,0.141,0.137,57.3,57.4,26.5,0.101,0.16,0.147,20.0
592773,2019.0, 4-Seamer,0.2,2.0,723.0,55.6,195.0,0.25,0.476,0.367,23.0,15.4,17.6,0.282,0.568,0.408,46.3
592773,2018.0, Splitter,-1.9,-3.0,140.0,13.0,45.0,0.091,0.25,0.152,57.4,66.7,33.0,0.082,0.16,0.116,14.3
592773,2018.0, Slider,-0.6,-2.0,291.0,26.9,65.0,0.197,0.295,0.242,48.2,36.9,27.9,0.182,0.264,0.227,27.0
592773,2018.0, 4-Seamer,-0.4,-2.0,649.0,60.0,151.0,0.225,0.395,0.327,23.6,17.2,17.8,0.233,0.482,0.36,45.6
592773,2017.0, Changeup,1.7,0.0,19.0,4.5,5.0,0.4,0.4,0.36,57.1,60.0,33.3,0.156,0.173,0.147,0.0
592773,2017.0, Splitter,-4.4,-2.0,35.0,8.3,8.0,0.125,0.125,0.113,41.2,62.5,29.4,0.17,0.204,0.162,0.0
592773,2017.0, Slider,0.5,0.0,81.0,19.1,17.0,0.188,0.438,0.285,54.1,47.1,25.0,0.12,0.23,0.184,12.5
592773,2017.0, 4-Seamer,1.8,5.0,284.0,67.1,62.0,0.365,0.692,0.477,27.9,21.0,16.5,0.291,0.601,0.421,52.5
592773,2017.0, Curveball,-0.6,0.0,3.0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607231,2020.0, Cutter,-4.0,-1.0,29.0,12.1,5.0,0.2,0.4,0.313,53.8,40.0,66.7,0.239,0.423,0.239,66.7
607231,2020.0, Curveball,-1.8,-1.0,30.0,12.5,9.0,0.25,0.25,0.278,33.3,33.3,37.5,0.205,0.317,0.268,40.0
607231,2020.0, 4-Seamer,0.9,0.0,32.0,13.3,9.0,0.143,0.143,0.256,23.1,33.3,18.8,0.309,0.521,0.418,75.0
607231,2020.0, Changeup,-2.8,-2.0,56.0,23.3,14.0,0.083,0.083,0.164,51.6,42.9,28.6,0.131,0.201,0.218,16.7
607231,2020.0, Sinker,-0.1,0.0,93.0,38.8,24.0,0.182,0.182,0.246,13.2,16.7,18.2,0.186,0.213,0.22,50.0
607231,2019.0, Curveball,-0.3,0.0,113.0,10.2,10.0,0.3,0.6,0.375,25.0,10.0,14.3,0.305,0.438,0.318,33.3
607231,2019.0, Cutter,-1.6,-2.0,121.0,10.9,31.0,0.179,0.179,0.213,31.0,19.4,21.4,0.201,0.232,0.238,18.2
607231,2019.0, Changeup,0.2,1.0,245.0,22.1,61.0,0.24,0.38,0.345,45.2,24.6,17.6,0.229,0.319,0.318,25.7
607231,2019.0, 4-Seamer,0.1,0.0,260.0,23.5,69.0,0.175,0.27,0.235,22.8,37.7,21.5,0.188,0.273,0.239,35.1
607231,2019.0, Sinker,-1.2,-4.0,346.0,31.3,93.0,0.247,0.358,0.319,15.9,11.8,12.6,0.284,0.406,0.347,35.7
607231,2018.0, Slider,2.2,2.0,96.0,5.1,19.0,0.214,0.286,0.345,37.9,31.6,24.0,0.234,0.346,0.368,50.0
607231,2018.0, Curveball,0.3,1.0,224.0,11.9,38.0,0.294,0.529,0.397,32.4,13.2,10.4,0.261,0.47,0.357,41.4
607231,2018.0, 4-Seamer,-1.3,-4.0,314.0,16.7,68.0,0.155,0.241,0.242,27.3,32.4,22.7,0.173,0.262,0.271,45.9
607231,2018.0, Changeup,1.0,5.0,516.0,27.5,173.0,0.206,0.335,0.301,35.9,23.1,19.0,0.207,0.305,0.275,21.7
607231,2018.0, Sinker,-1.4,-10.0,723.0,38.6,186.0,0.23,0.335,0.297,15.8,11.8,12.3,0.301,0.449,0.362,45.1
607231,2018.0, N/A,0.0,0.0,1.0,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607231,2017.0, Slider,-4.6,-1.0,17.0,5.9,1.0,0.0,0.0,0.0,66.7,0.0,0.0,0.266,0.305,0.28,0.0
607231,2017.0, Curveball,-2.6,-1.0,27.0,9.3,6.0,0.0,0.0,0.0,42.9,50.0,37.5,0.005,0.009,0.017,0.0
607231,2017.0, Changeup,0.3,0.0,57.0,19.7,15.0,0.154,0.154,0.273,32.0,13.3,15.4,0.107,0.118,0.182,0.0
607231,2017.0, 4-Seamer,1.3,1.0,93.0,32.1,25.0,0.227,0.773,0.44,21.4,16.0,16.7,0.282,0.581,0.403,33.3
607231,2017.0, Sinker,3.0,3.0,96.0,33.1,28.0,0.435,0.609,0.529,12.0,7.1,9.1,0.365,0.454,0.423,57.1
