id,Year,Pitch,Team,Hand,#,MPH,Inches of Drop,vs Avg,% vs Avg,Inches of Break,vs Avg,% Break vs Avg
477003,2015.0,Changeup, NYM , L,346.0,83.3,32.4,0.4,1.0,12.6,-1.4,-10.0
592773,2020.0,Splitter, MIA , R,34.0,88.4,27.0,-1.9,-7.0,12.0,0.0,0.0
592773,2020.0,4-Seamer, MIA , R,83.0,95.8,11.7,1.5,11.0,9.0,2.1,30.0
592773,2020.0,Slider, MIA , R,72.0,88.5,30.9,-0.6,-2.0,0.8,-2.4,-74.0
592773,2019.0,4-Seamer, MIA , R,723.0,97.5,11.9,1.4,10.0,9.1,1.7,23.0
592773,2019.0,Slider, MIA , R,306.0,89.6,31.0,-0.1,0.0,0.2,-3.0,-93.0
592773,2019.0,Splitter, MIA , R,269.0,88.3,31.3,0.8,3.0,10.3,-0.3,-2.0
592773,2018.0,4-Seamer, TB , R,649.0,97.9,11.2,1.7,13.0,7.8,0.2,3.0
592773,2018.0,Slider, TB , R,291.0,89.0,32.6,1.1,3.0,1.7,-1.8,-52.0
592773,2018.0,Splitter, TB , R,140.0,88.2,32.5,1.7,5.0,10.0,0.0,0.0
592773,2017.0,4-Seamer, TB , R,284.0,98.2,10.7,0.2,2.0,11.1,2.9,36.0
592773,2017.0,Curveball, TB , R,3.0,85.3,41.8,-3.2,-7.0,2.0,-8.2,-131.0
592773,2017.0,Changeup, TB , R,19.0,89.3,30.9,5.4,21.0,14.5,1.2,9.0
592773,2017.0,Slider, TB , R,81.0,89.6,30.5,1.5,5.0,2.1,-4.8,-174.0
592773,2017.0,Splitter, TB , R,35.0,88.5,32.9,4.7,17.0,13.3,2.4,22.0
465065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607231,2020.0,Changeup, STL , R,56.0,81.8,33.7,2.6,8.0,11.4,-0.7,-6.0
607231,2020.0,Sinker, STL , R,93.0,93.8,18.8,-1.6,-8.0,15.3,1.1,8.0
607231,2020.0,Cutter, STL , R,29.0,85.4,35.6,-4.9,-16.0,2.0,-1.4,-42.0
607231,2020.0,4-Seamer, STL , R,32.0,94.0,15.1,-0.5,-3.0,10.8,3.9,57.0
607231,2020.0,Curveball, STL , R,30.0,76.3,62.1,2.6,4.0,7.2,-2.2,-23.0
607231,2019.0,Changeup, STL , R,245.0,83.1,32.9,1.5,5.0,12.2,-0.8,-6.0
607231,2019.0,Curveball, STL , R,113.0,77.1,62.9,5.1,9.0,8.1,-1.6,-17.0
607231,2019.0,Cutter, STL , R,121.0,90.2,24.6,0.3,1.0,2.3,0.6,33.0
607231,2019.0,Sinker, STL , R,346.0,95.8,17.1,-3.1,-15.0,15.5,0.7,5.0
607231,2019.0,4-Seamer, STL , R,260.0,95.9,13.2,1.1,8.0,11.0,3.3,43.0
607231,2018.0,Changeup, STL , R,516.0,81.5,35.1,1.9,6.0,11.9,-0.8,-7.0
607231,2018.0,Sinker, STL , R,723.0,93.2,18.4,-3.1,-14.0,15.0,0.5,3.0
607231,2018.0,4-Seamer, STL , R,314.0,93.2,15.4,0.4,2.0,11.6,4.4,61.0
607231,2018.0,Curveball, STL , R,224.0,76.1,62.3,2.7,5.0,8.6,-0.8,-8.0
607231,2018.0,Slider, STL , R,96.0,83.4,40.1,1.5,4.0,3.2,-2.0,-38.0
607231,2017.0,Curveball, STL , R,27.0,75.9,59.8,2.9,5.0,7.6,-2.0,-20.0
607231,2017.0,Changeup, STL , R,57.0,81.7,31.8,0.9,3.0,13.6,0.5,4.0
607231,2017.0,Slider, STL , R,17.0,86.6,28.9,-3.1,-10.0,0.2,-3.4,-106.0
607231,2017.0,4-Seamer, STL , R,93.0,92.5,13.5,1.2,8.0,12.8,5.3,69.0
607231,2017.0,Sinker, STL , R,96.0,93.5,19.3,-0.8,-4.0,18.1,3.2,22.0
607231,2016.0,4-Seamer, ATL , R,529.0,92.4,14.1,0.4,3.0,14.2,5.9,71.0
