id,Year,team,league,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
122987,2012.0,SD,NL,137.0,2.0,3.0,5.28,6.0,6.0,0.0,30.2,34.0,19.0,18.0,4.0,13.0,7.0,1.53
573668,2016.0,CWS,AL,47.0,1.0,0.0,4.35,11.0,0.0,0.0,10.1,10.0,6.0,5.0,0.0,5.0,6.0,1.45
573668,2017.0,CWS,AL,184.0,3.0,2.0,4.53,40.0,0.0,9.0,43.2,38.0,22.0,22.0,7.0,20.0,51.0,1.33
573668,2018.0,CWS,AL,209.0,2.0,2.0,3.28,52.0,0.0,1.0,46.2,39.0,19.0,17.0,3.0,29.0,58.0,1.46
573668,2019.0,CWS,AL,126.0,0.0,0.0,3.90,22.0,0.0,0.0,27.2,31.0,13.0,12.0,4.0,12.0,27.0,1.55
452249,2007.0,ARI,NL,651.0,8.0,8.0,4.30,29.0,27.0,0.0,152.2,146.0,81.0,73.0,20.0,50.0,106.0,1.28
452249,2008.0,ARI,NL,466.0,6.0,9.0,5.93,22.0,18.0,0.0,104.2,104.0,73.0,69.0,14.0,41.0,87.0,1.39
452249,2009.0,CIN,NL,542.0,7.0,12.0,5.34,26.0,19.0,1.0,119.2,126.0,75.0,71.0,18.0,64.0,68.0,1.59
452249,2010.0,CIN,NL,153.0,3.0,2.0,5.40,22.0,0.0,0.0,33.1,28.0,20.0,20.0,3.0,25.0,35.0,1.59
452249,2011.0,ARI,NL,263.0,8.0,0.0,3.57,33.0,4.0,0.0,63.0,56.0,27.0,25.0,8.0,23.0,44.0,1.25
452249,2012.0,SD,NL,41.0,0.0,2.0,2.79,6.0,0.0,0.0,9.2,8.0,4.0,3.0,1.0,5.0,7.0,1.34
519242,2010.0,CWS,AL,92.0,2.0,1.0,1.93,21.0,0.0,4.0,23.1,15.0,5.0,5.0,2.0,10.0,32.0,1.07
519242,2011.0,CWS,AL,288.0,2.0,2.0,2.79,58.0,0.0,8.0,71.0,52.0,22.0,22.0,6.0,27.0,79.0,1.11
519242,2012.0,CWS,AL,772.0,17.0,8.0,3.05,30.0,29.0,0.0,192.0,167.0,66.0,65.0,19.0,51.0,192.0,1.14
519242,2013.0,CWS,AL,866.0,11.0,14.0,3.07,30.0,30.0,0.0,214.1,184.0,81.0,73.0,23.0,46.0,226.0,1.07
519242,2014.0,CWS,AL,685.0,12.0,4.0,2.17,26.0,26.0,0.0,174.0,129.0,48.0,42.0,13.0,39.0,208.0,0.97
519242,2015.0,CWS,AL,854.0,13.0,11.0,3.41,31.0,31.0,0.0,208.2,185.0,88.0,79.0,23.0,42.0,274.0,1.09
519242,2016.0,CWS,AL,907.0,17.0,10.0,3.34,32.0,32.0,0.0,226.2,190.0,88.0,84.0,27.0,45.0,233.0,1.04
519242,2017.0,BOS,AL,851.0,17.0,8.0,2.90,32.0,32.0,0.0,214.1,165.0,73.0,69.0,24.0,43.0,308.0,0.97
519242,2018.0,BOS,AL,617.0,12.0,4.0,2.11,27.0,27.0,0.0,158.0,102.0,39.0,37.0,11.0,34.0,237.0,0.86
519242,2019.0,BOS,AL,612.0,6.0,11.0,4.40,25.0,25.0,0.0,147.1,123.0,80.0,72.0,24.0,37.0,218.0,1.09
571704,2014.0,PHI,NL,166.0,3.0,1.0,1.18,44.0,0.0,1.0,45.2,25.0,7.0,6.0,1.0,11.0,64.0,0.79
571704,2015.0,PHI,NL,298.0,6.0,3.0,1.80,69.0,0.0,15.0,70.0,59.0,23.0,14.0,2.0,25.0,87.0,1.20
571704,2016.0,HOU,AL,286.0,2.0,5.0,4.11,69.0,0.0,15.0,65.2,60.0,32.0,30.0,8.0,25.0,102.0,1.29
571704,2017.0,HOU,AL,247.0,1.0,3.0,2.30,63.0,0.0,34.0,62.2,44.0,16.0,16.0,4.0,21.0,83.0,1.04
571704,2018.0,2,Teams,212.0,0.0,3.0,4.65,55.0,0.0,26.0,50.1,54.0,28.0,26.0,6.0,7.0,53.0,1.21
571704,2018.0,HOU,AL,129.0,0.0,2.0,4.99,34.0,0.0,12.0,30.2,36.0,17.0,17.0,2.0,3.0,31.0,1.27
571704,2018.0,TOR,AL,83.0,0.0,1.0,4.12,21.0,0.0,14.0,19.2,18.0,11.0,9.0,4.0,4.0,22.0,1.12
571704,2019.0,TOR,AL,208.0,2.0,3.0,1.87,53.0,0.0,23.0,53.0,36.0,11.0,11.0,5.0,17.0,83.0,1.00
571704,2020.0,TOR,AL,19.0,0.0,0.0,9.82,4.0,0.0,1.0,3.2,4.0,4.0,4.0,2.0,4.0,6.0,2.18
349193,2000.0,CHC,NL,17.0,1.0,0.0,8.10,6.0,0.0,0.0,3.1,4.0,3.0,3.0,0.0,4.0,2.0,2.40
349193,2001.0,CHC,NL,54.0,0.0,1.0,7.71,11.0,0.0,0.0,11.2,14.0,10.0,10.0,2.0,6.0,12.0,1.71
349193,2005.0,CHC,NL,187.0,2.0,2.0,2.91,69.0,0.0,0.0,43.1,32.0,14.0,14.0,6.0,24.0,45.0,1.29
349193,2006.0,CHC,NL,286.0,1.0,1.0,4.13,78.0,0.0,0.0,65.1,51.0,30.0,30.0,6.0,34.0,74.0,1.30
349193,2007.0,CHC,NL,168.0,2.0,4.0,4.95,56.0,0.0,1.0,36.1,42.0,20.0,20.0,3.0,16.0,33.0,1.60
349193,2008.0,ATL,NL,248.0,4.0,1.0,3.68,83.0,0.0,1.0,58.2,51.0,27.0,24.0,3.0,22.0,53.0,1.24
349193,2009.0,LAD,NL,54.0,1.0,0.0,5.84,21.0,0.0,1.0,12.1,12.0,8.0,8.0,4.0,8.0,7.0,1.62
349193,2010.0,2,Teams,186.0,0.0,2.0,3.21,68.0,0.0,0.0,42.0,40.0,18.0,15.0,4.0,23.0,43.0,1.50
349193,2010.0,BAL,AL,135.0,0.0,0.0,3.30,51.0,0.0,0.0,30.0,30.0,12.0,11.0,3.0,18.0,29.0,1.60
349193,2010.0,FLA,NL,51.0,0.0,2.0,3.00,17.0,0.0,0.0,12.0,10.0,6.0,4.0,1.0,5.0,14.0,1.25
349193,2011.0,CWS,AL,232.0,1.0,3.0,4.22,59.0,0.0,0.0,53.1,53.0,26.0,25.0,8.0,17.0,54.0,1.31
349193,2012.0,CWS,AL,112.0,0.0,2.0,6.41,32.0,0.0,0.0,26.2,23.0,19.0,19.0,6.0,5.0,13.0,1.05
572208,2016.0,BAL,AL,22.0,1.0,0.0,5.79,5.0,0.0,0.0,4.2,5.0,4.0,3.0,1.0,3.0,5.0,1.71
572208,2017.0,HOU,AL,22.0,0.0,0.0,3.60,3.0,0.0,0.0,5.0,4.0,2.0,2.0,0.0,4.0,5.0,1.60
493159,2014.0,CHC,NL,289.0,4.0,4.0,3.25,13.0,13.0,0.0,69.1,67.0,28.0,25.0,7.0,19.0,57.0,1.24
493159,2015.0,CHC,NL,136.0,1.0,1.0,3.62,8.0,7.0,0.0,32.1,30.0,14.0,13.0,5.0,11.0,31.0,1.27
606995,2018.0,CHC,NL,49.0,0.0,0.0,1.46,10.0,0.0,0.0,12.1,5.0,2.0,2.0,1.0,9.0,11.0,1.14
477003,2008.0,NYM,NL,69.0,1.0,1.0,7.07,3.0,3.0,0.0,14.0,20.0,11.0,11.0,2.0,8.0,11.0,2.00
477003,2009.0,NYM,NL,110.0,1.0,1.0,4.21,5.0,5.0,0.0,25.2,27.0,12.0,12.0,1.0,9.0,18.0,1.40
477003,2010.0,NYM,NL,770.0,9.0,10.0,4.20,30.0,30.0,0.0,173.2,192.0,97.0,81.0,20.0,62.0,148.0,1.46
477003,2011.0,NYM,NL,694.0,11.0,11.0,4.40,27.0,26.0,0.0,157.1,178.0,88.0,77.0,14.0,44.0,138.0,1.41
477003,2012.0,NYM,NL,788.0,13.0,9.0,3.40,30.0,30.0,0.0,190.1,174.0,77.0,72.0,22.0,49.0,155.0,1.17
477003,2013.0,NYM,NL,621.0,8.0,8.0,3.71,24.0,24.0,0.0,143.0,158.0,68.0,59.0,10.0,48.0,105.0,1.44
477003,2014.0,NYM,NL,786.0,9.0,11.0,3.40,30.0,30.0,0.0,187.2,193.0,80.0,71.0,17.0,45.0,138.0,1.27
477003,2015.0,NYM,NL,770.0,9.0,10.0,4.13,33.0,29.0,0.0,176.2,192.0,93.0,81.0,20.0,55.0,113.0,1.40
477003,2016.0,2,Teams,546.0,8.0,7.0,5.50,29.0,20.0,0.0,121.0,145.0,77.0,74.0,25.0,47.0,88.0,1.59
477003,2016.0,NYM,NL,55.0,0.0,1.0,11.45,6.0,2.0,0.0,11.0,13.0,14.0,14.0,4.0,9.0,12.0,2.00
477003,2016.0,PIT,NL,491.0,8.0,6.0,4.91,23.0,18.0,0.0,110.0,132.0,63.0,60.0,21.0,38.0,76.0,1.55
592773,2017.0,TB,AL,95.0,0.0,0.0,5.85,21.0,0.0,0.0,20.0,26.0,13.0,13.0,6.0,12.0,29.0,1.90
592773,2018.0,TB,AL,263.0,2.0,3.0,2.98,59.0,29.0,0.0,66.1,45.0,23.0,22.0,8.0,27.0,81.0,1.09
592773,2019.0,2,Teams,327.0,0.0,4.0,3.97,63.0,27.0,1.0,77.0,61.0,39.0,34.0,11.0,39.0,89.0,1.30
592773,2019.0,TB,AL,228.0,0.0,2.0,3.40,41.0,27.0,0.0,55.2,44.0,24.0,21.0,7.0,20.0,61.0,1.15
592773,2019.0,MIA,NL,99.0,0.0,2.0,5.48,22.0,0.0,1.0,21.1,17.0,15.0,13.0,4.0,19.0,28.0,1.69
592773,2020.0,MIA,NL,48.0,0.0,0.0,7.20,9.0,0.0,0.0,10.0,11.0,8.0,8.0,3.0,8.0,11.0,1.90
465065,2009.0,PHI,NL,60.0,1.0,0.0,4.61,14.0,0.0,0.0,13.2,12.0,7.0,7.0,0.0,5.0,10.0,1.24
465065,2011.0,HOU,NL,115.0,2.0,1.0,2.93,49.0,0.0,0.0,27.2,24.0,10.0,9.0,3.0,11.0,25.0,1.27
607231,2016.0,ATL,NL,222.0,1.0,4.0,4.86,20.0,7.0,0.0,50.0,54.0,32.0,27.0,7.0,21.0,49.0,1.50
607231,2017.0,STL,NL,76.0,0.0,1.0,4.67,7.0,2.0,0.0,17.1,17.0,9.0,9.0,4.0,10.0,11.0,1.56
607231,2018.0,STL,NL,487.0,7.0,6.0,3.47,26.0,19.0,0.0,114.0,91.0,54.0,44.0,9.0,57.0,95.0,1.30
607231,2019.0,STL,NL,269.0,11.0,1.0,3.66,64.0,0.0,3.0,66.1,51.0,29.0,27.0,4.0,34.0,60.0,1.28
607231,2020.0,STL,NL,61.0,0.0,3.0,2.40,17.0,0.0,0.0,15.0,9.0,6.0,4.0,0.0,7.0,18.0,1.07
457567,2009.0,CIN,NL,226.0,1.0,1.0,4.47,39.0,0.0,0.0,52.1,50.0,26.0,26.0,4.0,31.0,48.0,1.55
457567,2010.0,CIN,NL,100.0,1.0,1.0,5.64,18.0,0.0,0.0,22.1,22.0,14.0,14.0,1.0,13.0,21.0,1.57
457567,2011.0,CIN,NL,110.0,0.0,3.0,4.50,17.0,0.0,0.0,24.0,25.0,15.0,12.0,3.0,11.0,17.0,1.50
591701,2017.0,CIN,NL,32.0,0.0,0.0,10.50,6.0,0.0,0.0,6.0,11.0,7.0,7.0,2.0,4.0,6.0,2.50
460283,2007.0,OAK,AL,25.0,0.0,1.0,9.64,6.0,0.0,0.0,4.2,8.0,6.0,5.0,1.0,2.0,3.0,2.14
460283,2008.0,OAK,AL,156.0,1.0,3.0,3.11,36.0,0.0,0.0,37.2,32.0,14.0,13.0,2.0,13.0,35.0,1.19
460283,2009.0,OAK,AL,90.0,0.0,0.0,4.84,20.0,0.0,0.0,22.1,19.0,12.0,12.0,2.0,6.0,23.0,1.12
460283,2010.0,OAK,AL,220.0,2.0,1.0,3.70,63.0,0.0,1.0,48.2,54.0,20.0,20.0,7.0,18.0,46.0,1.48
460283,2011.0,OAK,AL,122.0,0.0,0.0,2.86,26.0,0.0,0.0,28.1,24.0,14.0,9.0,2.0,14.0,26.0,1.34
460283,2012.0,OAK,AL,261.0,5.0,1.0,2.48,63.0,0.0,1.0,65.1,45.0,20.0,18.0,7.0,25.0,54.0,1.07
460283,2013.0,OAK,AL,245.0,5.0,0.0,3.15,67.0,0.0,0.0,60.0,47.0,23.0,21.0,7.0,17.0,52.0,1.07
460283,2014.0,WSH,NL,240.0,2.0,3.0,4.87,64.0,0.0,0.0,57.1,48.0,31.0,31.0,3.0,23.0,66.0,1.24
460283,2015.0,NYM,NL,15.0,1.0,0.0,0.00,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.00
460283,2016.0,NYM,NL,178.0,4.0,2.0,2.79,73.0,0.0,2.0,42.0,36.0,14.0,13.0,4.0,15.0,52.0,1.21
460283,2017.0,NYM,NL,217.0,6.0,0.0,2.94,75.0,0.0,1.0,49.0,43.0,16.0,16.0,4.0,24.0,69.0,1.37
460283,2018.0,NYM,NL,188.0,3.0,2.0,4.85,64.0,1.0,1.0,42.2,36.0,24.0,23.0,6.0,22.0,41.0,1.36
460283,2019.0,ATL,NL,141.0,1.0,0.0,3.90,45.0,0.0,1.0,32.1,25.0,15.0,14.0,5.0,16.0,37.0,1.27
656887,2018.0,TOR,AL,150.0,2.0,4.0,5.13,7.0,7.0,0.0,33.1,31.0,23.0,19.0,6.0,21.0,42.0,1.56
656887,2019.0,TOR,AL,150.0,2.0,4.0,4.26,9.0,6.0,0.0,31.2,33.0,20.0,15.0,5.0,21.0,28.0,1.71
656887,2020.0,TOR,AL,30.0,1.0,0.0,1.35,5.0,0.0,0.0,6.2,3.0,3.0,1.0,0.0,6.0,6.0,1.35
502009,2009.0,SD,NL,212.0,4.0,5.0,4.62,10.0,10.0,0.0,50.2,43.0,29.0,26.0,7.0,23.0,39.0,1.30
502009,2010.0,SD,NL,748.0,14.0,10.0,2.92,31.0,31.0,0.0,184.2,150.0,63.0,60.0,16.0,50.0,189.0,1.08
502009,2011.0,SD,NL,799.0,9.0,14.0,3.47,31.0,31.0,0.0,194.1,168.0,82.0,75.0,16.0,62.0,185.0,1.18
502009,2012.0,CIN,NL,858.0,14.0,4.0,3.48,33.0,33.0,0.0,209.1,179.0,87.0,81.0,25.0,64.0,185.0,1.16
502009,2013.0,CIN,NL,881.0,14.0,7.0,3.16,32.0,32.0,0.0,210.2,197.0,82.0,74.0,14.0,58.0,187.0,1.21
502009,2014.0,CIN,NL,420.0,5.0,5.0,3.25,16.0,16.0,0.0,102.1,92.0,42.0,37.0,9.0,26.0,74.0,1.15
