id,type,proportion
408061,Curveball,8.8%
408061,Sinker,0.5%
453344,4-Seam Fastball,72.7%
453344,Cutter,15%
453344,Slider,12.3%
667498,4-Seam Fastball,42.5%
667498,Slider,26.9%
667498,Curveball,16.5%
667498,Sinker,11.3%
667498,Changeup,2.8%
543243,Curveball,27.6%
543243,Sinker,26.1%
543243,4-Seam Fastball,25.8%
543243,Slider,16.2%
543243,Changeup,4.2%
612434,Sinker,50.1%
612434,Slider,31.2%
612434,Changeup,18.7%
441368,NA,NA
605538,Slider,83.4%
605538,4-Seam Fastball,16.6%
669456,4-Seam Fastball,37.4%
669456,Curveball,26.3%
669456,Cutter,16.2%
669456,Slider,11.6%
669456,Changeup,8.5%
407822,4-Seam Fastball,43.3%
407822,Split Finger,40.3%
407822,Cutter,12.1%
407822,Curveball,4.3%
407908,4-Seam Fastball,52.9%
407908,Split Finger,29.9%
407908,Curveball,17.2%
518674,NA,NA
538227,NA,NA
542866,4-Seam Fastball,54.7%
542866,Slider,39%
542866,Changeup,6.3%
554234,Sinker,74.4%
554234,Curveball,15.6%
554234,Changeup,10%
282656,NA,NA
456589,NA,NA
134320,NA,NA
644364,Slider,61.8%
644364,4-Seam Fastball,22.1%
644364,Sinker,16.2%
456713,4-Seam Fastball,55.6%
456713,Curveball,23.2%
456713,Cutter,12.3%
456713,Sinker,8.9%
594965,4-Seam Fastball,61.1%
594965,Curveball,21.7%
594965,Cutter,13.3%
594965,Changeup,3.9%
622103,4-Seam Fastball,59.6%
622103,Slider,24.2%
622103,Sinker,14.4%
622103,Curveball,1.7%
435045,4-Seam Fastball,52.6%
435045,Slider,37.2%
435045,Changeup,8.9%
435045,Cutter,1.2%
446624,NA,NA
519263,Sinker,48.3%
519263,Changeup,37.9%
519263,4-Seam Fastball,8.6%
519263,Curveball,5.2%
605333,4-Seam Fastball,82.9%
605333,Changeup,10.5%
605333,Curveball,6.7%
520980,4-Seam Fastball,42.2%
520980,Changeup,35.9%
520980,Slider,21.9%
641427,4-Seam Fastball,60.7%
641427,Curveball,34.7%
641427,Sinker,3.4%
641427,Changeup,1.3%
467856,NA,NA
519008,Sinker,59.8%
519008,Slider,23.6%
519008,Changeup,16.6%
572021,Sinker,68.7%
572021,Slider,27.5%
572021,Changeup,3.8%
136880,NA,NA
232994,NA,NA
517060,NA,NA
461766,NA,NA
608717,4-Seam Fastball,46.4%
608717,Slider,26.7%
608717,Curveball,17%
608717,Changeup,9.9%
430606,NA,NA
657566,4-Seam Fastball,45.9%
657566,Cutter,37%
657566,Curveball,13.8%
657566,Changeup,3.4%
519229,Sinker,51.9%
519229,Slider,40.4%
519229,Changeup,3.8%
519229,4-Seam Fastball,3.8%
458550,NA,NA
425426,Sinker,74.1%
425426,Slider,10.1%
425426,4-Seam Fastball,10.1%
425426,Split Finger,4.6%
425426,Curveball,1.1%
429722,Slider,42.4%
429722,4-Seam Fastball,41.2%
429722,Sinker,10.4%
429722,Changeup,6%
606303,4-Seam Fastball,49.2%
606303,Slider,32.2%
606303,Sinker,13.6%
606303,Changeup,5.1%
623381,4-Seam Fastball,61.7%
623381,Curveball,22.9%
623381,Changeup,15.4%
623381,Slider,0.1%
433657,NA,NA
453249,Curveball,48.8%
453249,Sinker,47.8%
453249,4-Seam Fastball,3%
453249,Changeup,0.4%
491624,Changeup,83.2%
491624,Sinker,9.4%
491624,4-Seam Fastball,6.3%
491624,Slider,1%
594760,Sinker,45.9%
594760,Slider,24.3%
594760,Changeup,12.2%
594760,Curveball,10.8%
594760,4-Seam Fastball,6.8%
622766,4-Seam Fastball,52.9%
622766,Slider,22.5%
622766,Changeup,12.7%
622766,Curveball,11.8%
450308,4-Seam Fastball,28.9%
450308,Sinker,20.6%
450308,Changeup,17.8%
450308,Curveball,17.6%
450308,Slider,15.1%
622864,Sinker,59.4%
622864,Slider,28.8%
622864,4-Seam Fastball,6.1%
622864,Changeup,5.8%
642232,Cutter,36%
642232,Changeup,30%
642232,Sinker,23.4%
642232,Curveball,10.7%
542674,4-Seam Fastball,55.6%
542674,Changeup,32.6%
542674,Slider,7%
542674,Sinker,4.8%
450306,Changeup,35.1%
450306,4-Seam Fastball,27.6%
450306,Sinker,22.2%
450306,Curveball,15.2%
543867,4-Seam Fastball,55.5%
543867,Curveball,44.5%
676606,4-Seam Fastball,64.1%
676606,Slider,16.1%
676606,Curveball,11.5%
676606,Changeup,8.4%
596064,4-Seam Fastball,56.4%
596064,Changeup,29.9%
596064,Curveball,10.6%
596064,Slider,3.1%
429780,Sinker,32.5%
429780,Changeup,28.6%
429780,Cutter,27.8%
429780,Curveball,8.7%
429780,4-Seam Fastball,2.4%
502136,NA,NA
664353,4-Seam Fastball,54.5%
664353,Changeup,20.5%
664353,Slider,13.1%
664353,Curveball,11.9%
543557,Cutter,29.9%
543557,4-Seam Fastball,22.7%
543557,Changeup,21.6%
543557,Sinker,15.5%
543557,Curveball,10.3%
457754,4-Seam Fastball,51%
457754,Slider,40.6%
457754,Curveball,8.4%
425856,4-Seam Fastball,38.6%
425856,Curveball,34%
425856,Sinker,15.6%
425856,Cutter,10.1%
425856,Changeup,1.7%
458155,NA,NA
621107,Sinker,51.6%
621107,Slider,20.3%
621107,Curveball,13.1%
621107,4-Seam Fastball,9.6%
621107,Changeup,5.4%
448281,4-Seam Fastball,81.9%
448281,Slider,12.6%
448281,Split Finger,5.5%
572403,Sinker,40%
572403,Slider,30.4%
572403,Curveball,16.4%
572403,4-Seam Fastball,12.6%
572403,Changeup,0.6%
594835,Sinker,45.2%
594835,Cutter,24.4%
594835,Curveball,16.1%
594835,Changeup,14.3%
608328,4-Seam Fastball,46.9%
608328,Curveball,24.5%
608328,Slider,21.7%
608328,Changeup,7%
606965,Changeup,42.9%
606965,4-Seam Fastball,38.5%
606965,Slider,18.7%
450852,NA,NA
640463,4-Seam Fastball,36.6%
640463,Curveball,30.5%
640463,Changeup,22%
640463,Sinker,11%
434298,NA,NA
571572,4-Seam Fastball,43.4%
571572,Sinker,31.9%
571572,Slider,13.7%
571572,Changeup,7.1%
571572,Curveball,3.8%
519144,Sinker,42.6%
519144,Slider,29.2%
519144,Changeup,12.6%
519144,4-Seam Fastball,10.5%
519144,Curveball,5.1%
571945,4-Seam Fastball,27.4%
571945,Sinker,23.8%
571945,Slider,23.6%
571945,Curveball,21.4%
571945,Changeup,3.9%
518489,4-Seam Fastball,58.3%
518489,Slider,33%
518489,Changeup,5%
518489,Sinker,3.8%
471183,NA,NA
519240,Sinker,54%
519240,Slider,37.1%
519240,Changeup,8.9%
457732,4-Seam Fastball,59.1%
457732,Cutter,34.1%
457732,Curveball,6.8%
430629,NA,NA
458589,NA,NA
543409,4-Seam Fastball,75%
543409,Slider,17.5%
543409,Sinker,7.5%
476589,Slider,47.2%
476589,4-Seam Fastball,30.6%
476589,Changeup,17.8%
476589,Curveball,4.1%
476589,Sinker,0.2%
592593,4-Seam Fastball,52.8%
592593,Changeup,20.3%
592593,Curveball,16.9%
592593,Cutter,10%
571948,Sinker,53.8%
571948,Curveball,44.1%
571948,Changeup,2%
429984,NA,NA
453192,Slider,60%
453192,4-Seam Fastball,30.2%
453192,Sinker,9.8%
595032,4-Seam Fastball,55%
595032,Changeup,35%
595032,Slider,10%
467726,NA,NA
613534,Slider,83.8%
613534,4-Seam Fastball,16.2%
458003,NA,NA
502028,Slider,47.7%
502028,4-Seam Fastball,30.6%
502028,Sinker,16.6%
502028,Split Finger,5.2%
608334,4-Seam Fastball,54.3%
608334,Changeup,22.9%
608334,Cutter,11.7%
608334,Curveball,11.2%
429783,4-Seam Fastball,63.1%
429783,Slider,17.2%
429783,Changeup,12%
429783,Cutter,7.7%
276514,4-Seam Fastball,62%
276514,Split Finger,15%
276514,Cutter,11.7%
276514,Curveball,11.3%
592181,Sinker,69.3%
592181,Slider,28.9%
592181,4-Seam Fastball,1.8%
453264,Sinker,66.7%
453264,Curveball,13.1%
453264,4-Seam Fastball,10.7%
453264,Changeup,9.5%
457918,4-Seam Fastball,44.3%
457918,Sinker,22%
457918,Slider,18.7%
457918,Changeup,13.9%
457918,Curveball,1.1%
276520,Curveball,28.1%
276520,4-Seam Fastball,23.6%
276520,Slider,20.7%
276520,Sinker,10.5%
276520,Changeup,9.7%
276520,Cutter,7.5%
521230,4-Seam Fastball,70.8%
521230,Slider,22.2%
521230,Curveball,7%
605195,Slider,54.8%
605195,4-Seam Fastball,40%
605195,Sinker,5.2%
572831,4-Seam Fastball,44.6%
572831,Slider,31.8%
572831,Curveball,19.6%
572831,Changeup,3%
572831,Sinker,1%
592761,4-Seam Fastball,51.3%
592761,Slider,26.6%
592761,Changeup,14.6%
592761,Curveball,7.5%
620454,4-Seam Fastball,64.7%
620454,Slider,35.3%
664871,4-Seam Fastball,67.4%
664871,Slider,14.8%
664871,Curveball,13.9%
664871,Changeup,3.9%
642701,Slider,46.1%
642701,Sinker,34.5%
642701,Changeup,15.1%
642701,4-Seam Fastball,4.2%
430941,NA,NA
430654,NA,NA
542369,NA,NA
408241,Cutter,33.4%
408241,4-Seam Fastball,27.1%
408241,Sinker,17.4%
408241,Curveball,14.6%
408241,Changeup,6.8%
408241,Slider,0.7%
444935,4-Seam Fastball,74%
444935,Cutter,16.5%
444935,Slider,9.5%
451990,NA,NA
408230,NA,NA
533167,Split Finger,32.5%
533167,Sinker,25.6%
533167,4-Seam Fastball,18.6%
533167,Slider,18.4%
533167,Curveball,4.9%
451773,NA,NA
434159,NA,NA
607229,Sinker,45%
607229,Slider,21.2%
607229,4-Seam Fastball,19.1%
607229,Changeup,7.2%
607229,Curveball,6.8%
607229,Cutter,0.7%
453178,4-Seam Fastball,49.3%
453178,Cutter,32.6%
453178,Curveball,10.1%
453178,Changeup,7.5%
453178,Sinker,0.4%
453265,Changeup,45%
453265,Sinker,37.1%
453265,Slider,13.9%
453265,4-Seam Fastball,3.9%
283166,NA,NA
543634,NA,NA
425492,4-Seam Fastball,40.8%
425492,Changeup,21.8%
425492,Sinker,21.5%
425492,Curveball,12.6%
425492,Cutter,3.2%
592848,4-Seam Fastball,80%
592848,Slider,13.3%
592848,Changeup,6.7%
444444,NA,NA
605228,4-Seam Fastball,50.3%
605228,Curveball,33.8%
605228,Changeup,12.4%
605228,Sinker,3.5%
664192,Sinker,49.6%
664192,Curveball,34.1%
664192,Cutter,15.4%
664192,Changeup,0.8%
543056,Curveball,46%
543056,4-Seam Fastball,38%
543056,Slider,16%
429720,NA,NA
656288,4-Seam Fastball,40.7%
656288,Curveball,23.8%
656288,Slider,20.4%
656288,Changeup,15%
430638,NA,NA
595191,4-Seam Fastball,36.7%
595191,Curveball,31.5%
595191,Slider,29.5%
595191,Sinker,2.4%
543456,Sinker,38.6%
