id,type,proportion
435221,Slider,7%
435221,4-Seam Fastball,0.8%
450527,NA,NA
592279,Slider,44.4%
592279,4-Seam Fastball,30.9%
592279,Sinker,22.5%
592279,Changeup,2.3%
534947,4-Seam Fastball,55.1%
534947,Changeup,20%
534947,Curveball,15.2%
534947,Sinker,9.7%
452293,NA,NA
598287,4-Seam Fastball,36%
598287,Changeup,33%
598287,Curveball,31%
605154,4-Seam Fastball,56.6%
605154,Slider,42.8%
605154,Changeup,0.6%
488846,4-Seam Fastball,32.3%
488846,Sinker,22%
488846,Slider,18.2%
488846,Changeup,14.9%
488846,Curveball,12.5%
519259,NA,NA
433578,NA,NA
592662,4-Seam Fastball,47.3%
592662,Slider,30.5%
592662,Curveball,15.8%
592662,Sinker,3.7%
592662,Changeup,2.8%
518655,NA,NA
641745,4-Seam Fastball,38.3%
641745,Slider,38.2%
641745,Sinker,21.4%
641745,Changeup,2%
467100,Sinker,45.8%
467100,Curveball,25.4%
467100,Changeup,15.5%
467100,4-Seam Fastball,13.4%
664129,Sinker,51.1%
664129,Slider,45.5%
664129,4-Seam Fastball,2.7%
664129,Changeup,0.7%
500610,4-Seam Fastball,42.3%
500610,Changeup,40%
500610,Curveball,10.8%
500610,Slider,6.9%
430963,NA,NA
134321,NA,NA
460024,Cutter,44.9%
460024,4-Seam Fastball,29.7%
460024,Curveball,19.7%
460024,Sinker,3.8%
460024,Slider,1.9%
543178,NA,NA
449170,4-Seam Fastball,56.3%
449170,Slider,39.9%
449170,Sinker,3.8%
453381,NA,NA
471911,4-Seam Fastball,34%
471911,Slider,28.3%
471911,Changeup,28%
471911,Curveball,5.2%
471911,Sinker,4.5%
462089,4-Seam Fastball,84.4%
462089,Changeup,15.6%
621385,4-Seam Fastball,52.1%
621385,Slider,37.9%
621385,Changeup,10%
641838,Sinker,50%
641838,Changeup,23%
641838,Split Finger,15%
641838,Curveball,5%
641838,4-Seam Fastball,4%
641838,Slider,3%
474599,NA,NA
663567,4-Seam Fastball,52.7%
663567,Changeup,21.9%
663567,Curveball,12.8%
663567,Slider,12.1%
663567,Sinker,0.4%
571057,4-Seam Fastball,54.7%
571057,Curveball,31.1%
571057,Changeup,12.9%
571057,Sinker,1.3%
642840,4-Seam Fastball,51.9%
642840,Slider,42.6%
642840,Changeup,5.6%
668665,4-Seam Fastball,63.8%
668665,Slider,28.4%
668665,Changeup,5%
668665,Sinker,2.8%
150122,NA,NA
466918,NA,NA
444468,4-Seam Fastball,49.2%
444468,Slider,36.9%
444468,Sinker,10.3%
444468,Changeup,3.6%
453311,Changeup,42.7%
453311,Sinker,27.7%
453311,4-Seam Fastball,15.3%
453311,Curveball,8.8%
453311,Slider,5.6%
434679,NA,NA
462102,NA,NA
543017,Slider,41.8%
543017,Curveball,29.6%
543017,4-Seam Fastball,24.5%
543017,Sinker,4.1%
445193,NA,NA
542923,4-Seam Fastball,46.1%
542923,Sinker,33.9%
542923,Curveball,15.2%
542923,Split Finger,4.8%
543070,NA,NA
469097,NA,NA
573046,Sinker,56.1%
573046,Changeup,29.3%
573046,4-Seam Fastball,9.8%
573046,Slider,4.9%
641438,4-Seam Fastball,44.4%
641438,Changeup,23%
641438,Curveball,19.3%
641438,Slider,13.4%
641571,4-Seam Fastball,45.3%
641571,Slider,19.2%
641571,Changeup,17.7%
641571,Curveball,9.7%
641571,Sinker,8.2%
407819,Sinker,63.6%
407819,Cutter,22.9%
407819,4-Seam Fastball,7.5%
407819,Slider,6.1%
664126,4-Seam Fastball,57.3%
664126,Slider,40.8%
664126,Sinker,1.8%
613317,Slider,46.3%
613317,Sinker,29.2%
613317,4-Seam Fastball,24.6%
452733,Sinker,58.8%
452733,Slider,27.9%
452733,Changeup,13.2%
543495,NA,NA
502609,NA,NA
547749,4-Seam Fastball,57.7%
547749,Curveball,21.2%
547749,Forkball,16.8%
547749,Slider,4.4%
663765,4-Seam Fastball,43.3%
663765,Slider,26.9%
663765,Curveball,21.1%
663765,Sinker,7.5%
663765,Changeup,1.1%
573204,4-Seam Fastball,54.4%
573204,Curveball,25.3%
573204,Slider,16.4%
573204,Cutter,3.8%
444446,4-Seam Fastball,63.9%
444446,Curveball,20.7%
444446,Sinker,7.9%
444446,Changeup,7.5%
434565,NA,NA
457461,NA,NA
458537,4-Seam Fastball,55.9%
458537,Slider,21.1%
458537,Curveball,13.1%
458537,Sinker,7%
458537,Changeup,2.8%
445246,NA,NA
459939,NA,NA
453172,Sinker,51.5%
453172,Curveball,26.5%
453172,Changeup,14.3%
453172,4-Seam Fastball,7.8%
497807,4-Seam Fastball,63.6%
497807,Curveball,17.9%
497807,Slider,16.1%
497807,Changeup,2.5%
275933,NA,NA
595235,4-Seam Fastball,62.5%
595235,Slider,21.9%
595235,Changeup,15.6%
449774,NA,NA
622250,4-Seam Fastball,47.7%
622250,Slider,34.1%
622250,Sinker,18.2%
448159,4-Seam Fastball,49.5%
448159,Slider,34.1%
448159,Sinker,11.2%
448159,Split Finger,5.3%
491646,Sinker,48.5%
491646,Changeup,23%
491646,Slider,20.7%
491646,Curveball,5.6%
491646,4-Seam Fastball,2.2%
458567,NA,NA
519141,4-Seam Fastball,79.6%
519141,Curveball,20.4%
489295,Sinker,77.2%
489295,Cutter,14.8%
489295,4-Seam Fastball,8.1%
450832,NA,NA
547348,Sinker,71.8%
547348,Curveball,23.1%
547348,4-Seam Fastball,5.1%
518713,NA,NA
572070,4-Seam Fastball,46.3%
572070,Slider,37.8%
572070,Sinker,8.4%
572070,Curveball,7.5%
594987,Curveball,37.1%
594987,Sinker,35.1%
594987,Cutter,23%
594987,Changeup,4.6%
594987,4-Seam Fastball,0.3%
542587,4-Seam Fastball,61.3%
542587,Slider,34.8%
542587,Changeup,3.9%
503569,Sinker,60.4%
503569,Slider,20.3%
503569,Split Finger,18.6%
503569,4-Seam Fastball,0.7%
150221,NA,NA
459429,4-Seam Fastball,96.4%
459429,Slider,3%
459429,Sinker,0.6%
547820,NA,NA
240694,NA,NA
594992,4-Seam Fastball,35.2%
594992,Slider,35.2%
594992,Sinker,29.6%
572751,NA,NA
519145,NA,NA
518782,NA,NA
207267,NA,NA
592135,4-Seam Fastball,52.7%
592135,Slider,46.1%
592135,Split Finger,1.2%
656354,4-Seam Fastball,52.8%
656354,Curveball,18.9%
656354,Changeup,15.7%
656354,Slider,12.6%
213680,NA,NA
547179,4-Seam Fastball,33.1%
547179,Changeup,17.8%
547179,Cutter,17.6%
547179,Slider,17.4%
547179,Sinker,7.6%
547179,Curveball,6.6%
571656,4-Seam Fastball,52.8%
571656,Changeup,32.6%
571656,Slider,14.7%
518875,Slider,60.2%
518875,4-Seam Fastball,39.7%
518875,Changeup,0.1%
465629,Split Finger,63.1%
465629,4-Seam Fastball,27.4%
465629,Slider,6%
465629,Sinker,3.6%
605397,4-Seam Fastball,27%
605397,Slider,24.2%
605397,Curveball,19.9%
605397,Sinker,11.9%
605397,Changeup,10.7%
605397,Cutter,6.2%
457448,Sinker,67.9%
457448,Changeup,17.7%
457448,Cutter,7.7%
457448,Curveball,6.3%
457448,4-Seam Fastball,0.4%
605540,4-Seam Fastball,34.5%
605540,Sinker,30.6%
605540,Changeup,17.5%
605540,Slider,10.9%
605540,Curveball,6.4%
658551,Sinker,55.7%
658551,Changeup,31.1%
658551,Slider,13.1%
448609,4-Seam Fastball,47.9%
448609,Slider,32%
448609,Split Finger,20.1%
516414,Sinker,55.8%
516414,Slider,30.2%
516414,4-Seam Fastball,11.6%
516414,Changeup,2.3%
547874,Cutter,33.9%
547874,4-Seam Fastball,21.5%
547874,Split Finger,19.5%
547874,Sinker,18.4%
547874,Curveball,6.7%
453562,Sinker,52.1%
453562,Slider,23.2%
453562,Changeup,17%
453562,Curveball,7.3%
453562,4-Seam Fastball,0.4%
516969,Sinker,48.6%
516969,Changeup,21.6%
516969,4-Seam Fastball,18.9%
516969,Slider,5.4%
516969,Curveball,2.7%
516969,Cutter,2.7%
502522,4-Seam Fastball,70.9%
502522,Slider,19.6%
502522,Sinker,8%
502522,Changeup,1.5%
605121,Slider,52.1%
605121,4-Seam Fastball,40.8%
605121,Sinker,6.1%
605121,Changeup,0.9%
664045,Slider,23.6%
664045,4-Seam Fastball,22.7%
664045,Sinker,21.6%
664045,Curveball,19.1%
664045,Changeup,13%
453186,NA,NA
435044,Sinker,57.8%
435044,Slider,30.8%
435044,4-Seam Fastball,5.9%
435044,Changeup,5.4%
543819,NA,NA
594798,4-Seam Fastball,44.9%
594798,Slider,35.5%
594798,Changeup,16.9%
594798,Curveball,2.6%
623454,4-Seam Fastball,70%
623454,Changeup,16%
623454,Curveball,10%
623454,Slider,4%
650813,4-Seam Fastball,39.4%
650813,Sinker,28.8%
650813,Changeup,19.2%
650813,Curveball,12.5%
519437,4-Seam Fastball,54.6%
519437,Cutter,39%
519437,Curveball,6.3%
502202,4-Seam Fastball,55.2%
502202,Changeup,26.6%
502202,Slider,17.6%
502202,Curveball,0.6%
656738,Sinker,66.4%
656738,Curveball,23.6%
656738,Changeup,10%
450729,Sinker,62.1%
450729,Cutter,14.6%
450729,Curveball,13.2%
450729,Changeup,9.5%
450729,4-Seam Fastball,0.6%
462522,NA,NA
605135,Sinker,38.2%
605135,Cutter,23%
605135,4-Seam Fastball,16.5%
605135,Changeup,10.3%
605135,Curveball,9.4%
605135,Slider,2.6%
429717,Cutter,41%
429717,4-Seam Fastball,30%
429717,Curveball,14.2%
429717,Sinker,11.3%
429717,Split Finger,3.5%
501985,4-Seam Fastball,50.7%
501985,Changeup,22.2%
501985,Slider,20.7%
501985,Curveball,6.4%
518863,Sinker,34.1%
518863,4-Seam Fastball,32.5%
518863,Slider,21.8%
518863,Changeup,11.5%
592170,4-Seam Fastball,39.1%
592170,Curveball,23.5%
592170,Sinker,13.9%
592170,Changeup,13.9%
592170,Cutter,9.6%
572990,4-Seam Fastball,45.1%
572990,Split Finger,40.4%
572990,Slider,14.5%
606983,Sinker,35.7%
606983,Slider,29.7%
606983,Changeup,21.9%
606983,Curveball,8.8%
606983,4-Seam Fastball,3.9%
543766,Cutter,62.1%
543766,Slider,17%
543766,Curveball,16.3%
543766,Changeup,4.6%
623354,Slider,72.4%
623354,4-Seam Fastball,25%
623354,Changeup,2.6%
641541,Sinker,30.6%
641541,4-Seam Fastball,28.3%
641541,Slider,19.7%
641541,Curveball,12.4%
641541,Changeup,9%
642100,Sinker,29.9%
642100,Curveball,25.2%
642100,Slider,22.4%
642100,4-Seam Fastball,22.4%
543734,Sinker,42.4%
543734,Cutter,35.6%
543734,Slider,11.9%
543734,Changeup,5.1%
543734,Curveball,5.1%
643256,Slider,49.2%
643256,4-Seam Fastball,28.2%
643256,Sinker,22.6%
600917,4-Seam Fastball,57.4%
600917,Slider,31.9%
600917,Changeup,10.6%
650895,Slider,64.7%
650895,Sinker,34.1%
650895,4-Seam Fastball,1.3%
571787,4-Seam Fastball,43.7%
571787,Changeup,19.9%
571787,Slider,17.5%
571787,Curveball,14.4%
571787,Sinker,4.5%
425487,NA,NA
449777,NA,NA
430935,Cutter,30.8%
430935,Changeup,28.8%
430935,Curveball,15.4%
430935,4-Seam Fastball,15.4%
430935,Sinker,9.6%
433586,Sinker,31.5%
433586,Curveball,28.7%
433586,4-Seam Fastball,23%
433586,Slider,10.6%
433586,Changeup,6.2%
657024,4-Seam Fastball,74.5%
657024,Slider,17.4%
657024,Changeup,8.1%
657681,Changeup,50%
657681,4-Seam Fastball,48.5%
657681,Curveball,1.5%
501563,4-Seam Fastball,73.1%
501563,Slider,25.9%
501563,Sinker,1%
579799,NA,NA
596101,4-Seam Fastball,39.3%
596101,Slider,37.5%
596101,Sinker,15.2%
596101,Curveball,8%
606162,4-Seam Fastball,36.9%
606162,Changeup,30.4%
606162,Sinker,14.9%
606162,Slider,14.4%
606162,Curveball,3.4%
593582,4-Seam Fastball,61.8%
593582,Curveball,28.2%
593582,Slider,8.2%
593582,Changeup,0.9%
593582,Sinker,0.9%
518444,NA,NA
641835,Sinker,45.2%
641835,Slider,35.6%
641835,4-Seam Fastball,19.2%
621121,Sinker,41.7%
621121,Curveball,37.6%
621121,Changeup,18.4%
621121,Cutter,1.8%
621121,4-Seam Fastball,0.5%
661403,Cutter,73.3%
661403,Slider,21.2%
661403,4-Seam Fastball,5.5%
642239,4-Seam Fastball,68.5%
642239,Curveball,16.2%
642239,Cutter,15.3%
628333,4-Seam Fastball,38.8%
628333,Cutter,20%
628333,Sinker,15.3%
628333,Slider,11.8%
628333,Curveball,7.5%
628333,Changeup,6.3%
628333,Eephus,0.4%
596043,4-Seam Fastball,50.2%
596043,Cutter,26.8%
596043,Changeup,12.6%
596043,Curveball,9.1%
596043,Sinker,1.3%
501593,Changeup,58%
501593,Sinker,31.5%
501593,Curveball,5.6%
501593,4-Seam Fastball,4.9%
596035,Sinker,78.6%
596035,Slider,12.2%
596035,Changeup,9.2%
450351,Sinker,31%
450351,4-Seam Fastball,22.6%
450351,Changeup,14.8%
450351,Slider,12.7%
450351,Curveball,9.8%
450351,Cutter,9%
468396,4-Seam Fastball,61.3%
468396,Slider,29%
468396,Sinker,9.7%
592464,Slider,51.9%
592464,Curveball,32.1%
592464,4-Seam Fastball,12.6%
592464,Sinker,3.1%
592464,Changeup,0.4%
594951,Slider,52.4%
594951,4-Seam Fastball,33.3%
594951,Sinker,9.5%
594951,Curveball,4.8%
466459,NA,NA
621237,Sinker,76.8%
621237,Curveball,11.9%
621237,Cutter,11.3%
621112,Sinker,50%
621112,Changeup,25%
621112,Slider,18.8%
621112,Curveball,6.3%
491703,4-Seam Fastball,64.2%
491703,Slider,19.4%
491703,Changeup,16.4%
120485,NA,NA
660271,4-Seam Fastball,48.8%
660271,Slider,28.7%
660271,Split Finger,16.3%
660271,Curveball,6.3%
408206,NA,NA
515052,4-Seam Fastball,42.5%
515052,Slider,30%
515052,Sinker,20%
515052,Changeup,7.5%
605479,4-Seam Fastball,41.9%
605479,Slider,32.6%
605479,Sinker,25.6%
621097,4-Seam Fastball,43.8%
621097,Changeup,18.9%
621097,Cutter,18.1%
621097,Curveball,10.8%
621097,Sinker,8.3%
452237,NA,NA
541652,4-Seam Fastball,40.2%
541652,Slider,39.2%
541652,Sinker,13.8%
541652,Changeup,6.9%
493337,NA,NA
553878,4-Seam Fastball,59.4%
553878,Slider,16.7%
553878,Curveball,14.2%
553878,Changeup,8%
553878,Sinker,1.7%
519085,Sinker,32%
519085,Changeup,28.3%
519085,4-Seam Fastball,26.1%
519085,Slider,7.1%
519085,Curveball,6.5%
621141,Sinker,32.6%
621141,Curveball,22.2%
621141,Cutter,20.4%
621141,Changeup,20.4%
621141,4-Seam Fastball,4.3%
553872,4-Seam Fastball,58.4%
553872,Changeup,38.6%
553872,Slider,2%
553872,Sinker,1%
453198,NA,NA
459345,NA,NA
453889,NA,NA
518617,4-Seam Fastball,55.6%
518617,Slider,40.4%
518617,Sinker,3.7%
518617,Changeup,0.3%
663978,4-Seam Fastball,58.2%
663978,Changeup,31%
663978,Curveball,7.4%
663978,Cutter,3.4%
593679,4-Seam Fastball,31.1%
593679,Slider,28%
593679,Sinker,25%
593679,Changeup,13.7%
593679,Curveball,2.3%
445971,NA,NA
435619,NA,NA
454535,NA,NA
518553,Slider,51.3%
518553,Sinker,44.9%
518553,4-Seam Fastball,2.7%
518553,Changeup,1.1%
607968,Cutter,35.5%
607968,4-Seam Fastball,31%
607968,Sinker,17.6%
607968,Changeup,7.5%
607968,Slider,4.5%
607968,Curveball,3.9%
621209,4-Seam Fastball,30%
621209,Slider,28.3%
621209,Sinker,19.9%
621209,Curveball,11.6%
621209,Changeup,10.2%
663855,Sinker,60.3%
663855,Slider,34.7%
663855,Changeup,4.8%
663855,4-Seam Fastball,0.2%
641871,4-Seam Fastball,59%
641871,Slider,22.4%
641871,Changeup,18.6%
519110,NA,NA
572089,Curveball,36.6%
572089,Slider,29.7%
572089,Sinker,17.7%
572089,4-Seam Fastball,9.7%
572089,Changeup,6.3%
346798,Sinker,61.5%
346798,Slider,20.9%
346798,Changeup,12.8%
346798,Curveball,4.8%
602083,4-Seam Fastball,48.5%
602083,Curveball,34.3%
602083,Changeup,11.2%
602083,Slider,5.2%
602083,Sinker,0.7%
592791,Slider,31.9%
592791,4-Seam Fastball,27.2%
592791,Sinker,19.8%
592791,Curveball,15.7%
592791,Changeup,5.4%
543606,4-Seam Fastball,39.2%
543606,Split Finger,28.4%
543606,Slider,19.1%
543606,Cutter,9.8%
543606,Curveball,3.4%
456776,4-Seam Fastball,47.7%
456776,Changeup,29.1%
456776,Sinker,12.1%
456776,Cutter,7.7%
456776,Curveball,3.4%
595465,Cutter,55.9%
595465,4-Seam Fastball,22.4%
595465,Curveball,10.7%
595465,Sinker,10.4%
595465,Changeup,0.7%
518560,Sinker,62.2%
518560,Curveball,31%
518560,Changeup,4.2%
518560,4-Seam Fastball,2.6%
607215,4-Seam Fastball,39.5%
607215,Curveball,23%
607215,Sinker,20%
607215,Changeup,17.5%
657097,4-Seam Fastball,52.4%
657097,Changeup,32.7%
657097,Curveball,14.9%
516684,NA,NA
502188,Slider,23.8%
502188,Cutter,21.8%
502188,4-Seam Fastball,18.8%
502188,Split Finger,18.1%
502188,Sinker,15.8%
502188,Curveball,1.7%
450203,4-Seam Fastball,35.5%
450203,Curveball,32.7%
450203,Sinker,20.9%
450203,Cutter,8.8%
450203,Split Finger,2.1%
621397,4-Seam Fastball,42.4%
621397,Curveball,42%
621397,Changeup,13.1%
621397,Sinker,2.6%
460366,NA,NA
211041,NA,NA
502457,Cutter,57.6%
502457,Slider,20.4%
502457,4-Seam Fastball,13.1%
502457,Changeup,8.9%
643354,Sinker,61.5%
643354,Slider,25%
643354,Changeup,13.5%
456102,NA,NA
592341,4-Seam Fastball,47.1%
592341,Slider,47.1%
592341,Sinker,5.9%
643355,4-Seam Fastball,62.8%
643355,Curveball,31.6%
643355,Changeup,5.5%
425146,NA,NA
607068,Sinker,62.7%
607068,Slider,17.6%
607068,Changeup,11.8%
607068,4-Seam Fastball,7.8%
457796,NA,NA
446367,NA,NA
518649,4-Seam Fastball,50%
518649,Cutter,26.5%
518649,Slider,20.6%
518649,Curveball,2.9%
612272,4-Seam Fastball,50%
612272,Slider,38.5%
612272,Changeup,11.5%
500779,4-Seam Fastball,48.6%
500779,Curveball,31.1%
500779,Sinker,12.6%
500779,Changeup,7.7%
518516,4-Seam Fastball,38.9%
518516,Cutter,36.6%
518516,Curveball,22.7%
518516,Changeup,1.3%
518516,Sinker,0.6%
664918,4-Seam Fastball,58.5%
664918,Curveball,34.1%
664918,Forkball,7.3%
571527,4-Seam Fastball,37.2%
571527,Sinker,22.9%
571527,Changeup,22.1%
571527,Curveball,12.2%
571527,Cutter,5.6%
445170,Sinker,72.4%
445170,Slider,23.7%
445170,Changeup,2.2%
445170,4-Seam Fastball,1.8%
489189,NA,NA
571473,4-Seam Fastball,51.3%
571473,Sinker,25.6%
571473,Slider,23.1%
346847,Sinker,38%
346847,4-Seam Fastball,35.2%
346847,Slider,12.9%
346847,Changeup,9.9%
346847,Curveball,4.1%
547007,Sinker,46.8%
547007,Slider,23.4%
547007,Curveball,17%
547007,4-Seam Fastball,10.6%
547007,Changeup,2.1%
279824,4-Seam Fastball,26.4%
279824,Sinker,24.5%
279824,Changeup,21.1%
279824,Cutter,19.5%
279824,Curveball,8.6%
642571,4-Seam Fastball,44.4%
642571,Curveball,33.6%
642571,Cutter,11.9%
642571,Changeup,10.1%
501381,4-Seam Fastball,50.1%
501381,Slider,38.5%
501381,Changeup,11.4%
434643,Curveball,34.4%
434643,Sinker,33.7%
434643,4-Seam Fastball,27.1%
434643,Changeup,4.8%
458678,4-Seam Fastball,61.2%
458678,Slider,38.8%
476134,NA,NA
500724,4-Seam Fastball,53.3%
500724,Curveball,30.8%
500724,Slider,15%
500724,Changeup,0.9%
476811,NA,NA
434958,NA,NA
502158,NA,NA
571476,4-Seam Fastball,46.1%
571476,Slider,33.7%
571476,Changeup,18.3%
571476,Sinker,2%
596816,Sinker,39.5%
596816,4-Seam Fastball,19.8%
596816,Slider,19.2%
596816,Curveball,11.9%
596816,Changeup,9.6%
543508,4-Seam Fastball,57.7%
543508,Slider,39.8%
543508,Changeup,2.4%
435298,NA,NA
518397,Sinker,81.2%
518397,Slider,16.8%
518397,4-Seam Fastball,2%
671790,4-Seam Fastball,45.2%
671790,Slider,28.8%
671790,Sinker,15.1%
671790,Curveball,9.6%
671790,Changeup,1.4%
502130,Sinker,44.4%
502130,4-Seam Fastball,29.6%
502130,Slider,25.9%
592866,4-Seam Fastball,42.7%
592866,Slider,26.6%
592866,Changeup,15.2%
592866,Sinker,8.4%
592866,Curveball,7.1%
648737,4-Seam Fastball,51.1%
648737,Slider,27.8%
648737,Sinker,11.9%
648737,Changeup,9.1%
543424,4-Seam Fastball,40.1%
543424,Cutter,35.1%
543424,Changeup,15.3%
543424,Curveball,7.9%
543424,Sinker,1.5%
476570,Sinker,44.4%
476570,4-Seam Fastball,24.4%
476570,Slider,24.4%
476570,Changeup,6.7%
532077,4-Seam Fastball,36.4%
532077,Slider,20%
532077,Changeup,18.2%
532077,Cutter,16.4%
532077,Sinker,9.1%
455090,NA,NA
672335,4-Seam Fastball,62.5%
672335,Slider,35.2%
672335,Changeup,2.3%
593372,4-Seam Fastball,34.8%
593372,Slider,28.1%
593372,Changeup,20.1%
593372,Sinker,15.2%
593372,Cutter,1.7%
572827,NA,NA
502208,NA,NA
434180,NA,NA
434663,NA,NA
643338,4-Seam Fastball,73.9%
643338,Curveball,24.9%
643338,Sinker,1.2%
571871,Slider,41.9%
571871,Sinker,29%
571871,Changeup,22.6%
571871,4-Seam Fastball,6.5%
458006,Sinker,46.4%
458006,Slider,33.1%
458006,Changeup,10.3%
458006,4-Seam Fastball,10.1%
119125,NA,NA
455091,NA,NA
554431,4-Seam Fastball,61.9%
554431,Slider,20.9%
554431,Cutter,9.5%
554431,Curveball,7.7%
622092,4-Seam Fastball,48%
622092,Slider,34.3%
622092,Curveball,13.9%
622092,Changeup,3.8%
592351,4-Seam Fastball,48.3%
592351,Slider,29.2%
592351,Changeup,13.1%
592351,Curveball,8.4%
592351,Sinker,1.1%
670950,4-Seam Fastball,50.7%
670950,Changeup,31.1%
670950,Curveball,18.2%
501993,NA,NA
605446,4-Seam Fastball,54.3%
605446,Curveball,30.4%
605446,Cutter,15.2%
605152,4-Seam Fastball,62.6%
605152,Curveball,22%
605152,Changeup,15.4%
453515,NA,NA
504083,4-Seam Fastball,51.9%
504083,Slider,40.5%
504083,Sinker,7.6%
450275,4-Seam Fastball,57.2%
450275,Slider,41.6%
450275,Sinker,1%
450275,Changeup,0.2%
572283,4-Seam Fastball,65.3%
572283,Curveball,27.9%
572283,Changeup,6.8%
641755,Slider,59.8%
641755,4-Seam Fastball,33.4%
641755,Changeup,6.7%
470462,NA,NA
502624,4-Seam Fastball,34.4%
502624,Changeup,23.5%
502624,Cutter,20.1%
502624,Curveball,16.1%
502624,Sinker,6%
543174,NA,NA
605347,Sinker,38.3%
605347,Curveball,30.9%
605347,4-Seam Fastball,21.6%
605347,Changeup,9.3%
477557,NA,NA
534428,NA,NA
571735,4-Seam Fastball,44.3%
571735,Changeup,31.2%
571735,Curveball,15.6%
571735,Sinker,8.9%
346793,Sinker,67.5%
346793,Curveball,23.8%
346793,Changeup,8.7%
641582,4-Seam Fastball,57.1%
641582,Changeup,33.5%
641582,Slider,9.2%
641582,Sinker,0.2%
407793,4-Seam Fastball,41.2%
407793,Cutter,32.6%
407793,Sinker,13.5%
407793,Curveball,7.7%
407793,Changeup,4.9%
458919,Sinker,49.1%
458919,4-Seam Fastball,27.9%
458919,Slider,11%
458919,Split Finger,6.2%
458919,Cutter,5.7%
430663,NA,NA
434682,NA,NA
572383,4-Seam Fastball,60.9%
572383,Curveball,39.1%
519443,Curveball,39.5%
519443,Cutter,34.2%
519443,4-Seam Fastball,26.3%
456034,4-Seam Fastball,27.5%
456034,Changeup,26.5%
456034,Sinker,26.2%
456034,Cutter,17.3%
456034,Curveball,2.5%
448753,NA,NA
514669,4-Seam Fastball,74.6%
514669,Slider,25.4%
623470,Slider,51.2%
623470,4-Seam Fastball,45.2%
623470,Changeup,3.6%
502621,NA,NA
461848,NA,NA
658648,Slider,45.9%
658648,Curveball,24.7%
658648,4-Seam Fastball,24.7%
658648,Sinker,4.7%
592781,4-Seam Fastball,62.2%
592781,Slider,20.3%
592781,Changeup,17.4%
501227,NA,NA
543521,Slider,43.4%
543521,4-Seam Fastball,32.4%
543521,Cutter,12.2%
543521,Curveball,8%
543521,Changeup,3.2%
543521,Sinker,0.8%
543643,NA,NA
643466,Slider,38%
643466,4-Seam Fastball,27.3%
643466,Sinker,25.4%
643466,Changeup,9.3%
502239,Changeup,29.8%
502239,Sinker,24.6%
502239,Curveball,23%
502239,Cutter,12.3%
502239,4-Seam Fastball,10.3%
605525,4-Seam Fastball,47.5%
605525,Slider,26.2%
605525,Sinker,10.5%
605525,Curveball,8.4%
605525,Changeup,7.3%
657141,4-Seam Fastball,31.9%
657141,Slider,23%
657141,Cutter,19.6%
657141,Curveball,14.1%
657141,Sinker,10%
657141,Changeup,1.5%
448269,NA,NA
572096,4-Seam Fastball,67.5%
572096,Slider,20.5%
572096,Changeup,8.4%
572096,Sinker,3.7%
501625,Sinker,39.5%
501625,Changeup,22.5%
501625,Slider,21.7%
501625,4-Seam Fastball,14%
501625,Cutter,2.3%
642547,4-Seam Fastball,65.8%
642547,Curveball,29.8%
642547,Slider,4.3%
601713,4-Seam Fastball,49.3%
601713,Curveball,24.5%
601713,Slider,20%
601713,Changeup,6.2%
452666,4-Seam Fastball,34.7%
452666,Sinker,22.3%
452666,Slider,21.9%
452666,Curveball,17.7%
452666,Changeup,3.3%
592426,Slider,43.3%
592426,4-Seam Fastball,36.1%
592426,Curveball,19.9%
592426,Cutter,0.7%
664196,Sinker,58.3%
664196,Slider,18%
664196,4-Seam Fastball,12.8%
664196,Changeup,9.2%
664196,Cutter,1.7%
490063,4-Seam Fastball,43.6%
490063,Slider,23.1%
490063,Sinker,17%
490063,Curveball,10.5%
490063,Changeup,5.8%
407791,NA,NA
571561,4-Seam Fastball,79%
571561,Slider,19.4%
571561,Changeup,1.6%
607067,4-Seam Fastball,39.8%
607067,Curveball,19.1%
607067,Cutter,17.8%
607067,Split Finger,11.6%
607067,Sinker,11.6%
621056,4-Seam Fastball,55.6%
621056,Slider,28.1%
621056,Changeup,11.3%
621056,Curveball,5.1%
544836,4-Seam Fastball,68.8%
544836,Slider,24%
544836,Curveball,7.2%
519043,4-Seam Fastball,55.6%
519043,Cutter,17.1%
519043,Curveball,15.4%
519043,Changeup,12%
542881,4-Seam Fastball,40.7%
542881,Changeup,33%
542881,Cutter,18.1%
542881,Sinker,6.3%
542881,Curveball,1.9%
594985,Sinker,61.7%
594985,Slider,31.7%
594985,Changeup,6.7%
543144,4-Seam Fastball,56.9%
543144,Changeup,35.3%
543144,Curveball,7.8%
573064,Slider,67%
573064,4-Seam Fastball,17.4%
573064,Changeup,9.2%
573064,Curveball,6.4%
659275,Slider,53.4%
659275,4-Seam Fastball,37.3%
659275,Sinker,9.3%
451491,NA,NA
493137,NA,NA
457711,Slider,29.1%
457711,4-Seam Fastball,28.8%
457711,Sinker,26.8%
457711,Curveball,11.5%
457711,Changeup,3.9%
466948,4-Seam Fastball,47.7%
466948,Changeup,35.5%
466948,Curveball,10.3%
466948,Sinker,5.6%
466948,Slider,0.9%
407842,NA,NA
605304,4-Seam Fastball,44.9%
605304,Slider,21%
605304,Sinker,16.1%
605304,Curveball,9.6%
605304,Changeup,8.4%
543507,4-Seam Fastball,47.7%
543507,Slider,32.6%
543507,Changeup,15.6%
543507,Sinker,4.1%
