name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Sean Marshall,CHC,--,--,2.40,--,--,--,--,--,--,30.0,16,9,8,1,0,0,23,0.53,.160,https://www.mlb.com/player/445156
Sean O'Sullivan,KC,--,--,2.10,--,--,--,--,--,--,30.0,35,8,7,1,1,1,13,1.20,.280,https://www.mlb.com/player/457711
Charlie Morton,PIT,--,--,6.60,--,--,--,--,--,--,30.0,38,23,22,5,4,0,18,1.27,.317,https://www.mlb.com/player/450203
Andy Sonnanstine,TB,--,--,4.55,--,--,--,--,--,--,29.2,29,15,15,6,2,0,16,0.98,.246,https://www.mlb.com/player/458567
Luis Atilano,WSH,--,--,6.75,--,--,--,--,--,--,29.1,44,23,22,6,2,0,13,1.50,.355,https://www.mlb.com/player/457447
Josh Tomlin,CLE,--,--,3.10,--,--,--,--,--,--,29.0,26,10,10,3,0,0,17,0.90,.243,https://www.mlb.com/player/458708
David Huff,CLE,--,--,8.69,--,--,--,--,--,--,29.0,35,28,28,5,2,0,8,1.21,.299,https://www.mlb.com/player/453307
Matt Harrison,TEX,--,--,5.59,--,--,--,--,--,--,29.0,29,18,18,2,1,0,17,1.00,.261,https://www.mlb.com/player/457448
Jonny Venters,ATL,--,--,2.51,--,--,--,--,--,--,28.2,23,13,8,1,4,0,25,0.80,.217,https://www.mlb.com/player/458924
Kanekoa Texeira,KC,--,--,4.08,--,--,--,--,--,--,28.2,29,14,13,1,2,0,12,1.01,.269,https://www.mlb.com/player/444427
David Pauley,SEA,--,--,3.21,--,--,--,--,--,--,28.0,35,11,10,3,3,0,13,1.25,.299,https://www.mlb.com/player/456102
Kyle McClellan,STL,--,--,1.93,--,--,--,--,--,--,28.0,16,6,6,3,2,0,15,0.57,.172,https://www.mlb.com/player/449072
Scott Olsen,WSH,--,--,6.43,--,--,--,--,--,--,28.0,29,21,20,4,1,0,12,1.04,.274,https://www.mlb.com/player/435179
Evan Meek,PIT,--,--,2.28,--,--,--,--,--,--,27.2,21,11,7,3,1,0,22,0.76,.210,https://www.mlb.com/player/457425
Daniel Bard,BOS,--,--,1.65,--,--,--,--,--,--,27.1,15,6,5,1,2,0,23,0.55,.163,https://www.mlb.com/player/453268
Clay Hensley,FLA,--,--,2.96,--,--,--,--,--,--,27.1,22,9,9,3,2,0,29,0.80,.229,https://www.mlb.com/player/454535
Alex Sanabia,FLA,--,--,4.28,--,--,--,--,--,--,27.1,29,14,13,2,2,0,17,1.06,.274,https://www.mlb.com/player/502253
Matt Guerrier,MIN,--,--,1.98,--,--,--,--,--,--,27.1,25,7,6,1,2,0,13,0.91,.250,https://www.mlb.com/player/407825
Brandon League,SEA,--,--,4.61,--,--,--,--,--,--,27.1,31,18,14,3,1,0,11,1.13,.292,https://www.mlb.com/player/434181
Francisco Cordero,CIN,--,--,3.00,--,--,--,--,--,--,27.0,23,10,9,3,0,0,15,0.85,.232,https://www.mlb.com/player/150188
Wilton Lopez,HOU,--,--,2.33,--,--,--,--,--,--,27.0,25,8,7,0,0,0,15,0.93,.255,https://www.mlb.com/player/446641
Chad Durbin,PHI,--,--,4.67,--,--,--,--,--,--,27.0,22,14,14,5,4,0,24,0.81,.227,https://www.mlb.com/player/239795
Daniel McCutchen,PIT,--,--,6.67,--,--,--,--,--,--,27.0,34,22,20,4,0,0,11,1.26,.296,https://www.mlb.com/player/445216
Luke Gregerson,SD,--,--,4.33,--,--,--,--,--,--,27.0,20,14,13,3,0,0,25,0.74,.206,https://www.mlb.com/player/502381
Jason Frasor,TOR,--,--,3.33,--,--,--,--,--,--,27.0,28,10,10,0,2,0,26,1.04,.264,https://www.mlb.com/player/430630
Carlos Marmol,CHC,--,--,2.03,--,--,--,--,--,--,26.2,13,6,6,1,4,0,37,0.49,.140,https://www.mlb.com/player/461791
Matt Capps,MIN,--,--,3.71,--,--,--,--,--,--,26.2,30,13,11,4,0,0,7,1.13,.286,https://www.mlb.com/player/448165
Joba Chamberlain,NYY,--,--,3.38,--,--,--,--,--,--,26.2,27,10,10,3,1,0,28,1.01,.255,https://www.mlb.com/player/501955
Eddie Bonine,DET,--,--,6.15,--,--,--,--,--,--,26.1,36,20,18,3,0,0,4,1.37,.340,https://www.mlb.com/player/444382
