player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Buster Posey,C,SF,--,9,11,1,1,0,0,7,0,2,0,0,.111,.083,.222,.306,https://www.mlb.com/player/457763
Freddy Galvis,SS,PHI,--,12,13,2,0,0,0,6,0,2,0,0,.167,.133,.167,.300,https://www.mlb.com/player/520471
Yolmer Sanchez,2B,CWS,--,7,7,1,0,0,0,2,0,3,0,0,.143,.143,.143,.286,https://www.mlb.com/player/570560
Michael Saunders,LF,TOR,--,7,3,1,0,0,0,3,0,1,0,0,.143,.143,.143,.286,https://www.mlb.com/player/459431
Starling Marte,CF,PIT,--,7,7,1,0,0,0,3,0,0,0,0,.143,.125,.143,.268,https://www.mlb.com/player/516782
Austin Hedges,C,SD,--,7,4,1,0,0,0,3,0,2,0,0,.143,.125,.143,.268,https://www.mlb.com/player/595978
Pablo Sandoval,3B,SF,--,7,2,1,0,0,0,3,0,3,0,0,.143,.125,.143,.268,https://www.mlb.com/player/467055
Odubel Herrera,CF,PHI,--,14,11,1,1,0,0,7,1,5,0,0,.071,.118,.143,.260,https://www.mlb.com/player/546318
Jon Jay,LF,CHC,--,8,14,1,0,0,0,2,0,2,0,0,.125,.125,.125,.250,https://www.mlb.com/player/445055
Tyler Collins,RF,DET,--,8,3,1,0,0,0,1,0,2,0,0,.125,.125,.125,.250,https://www.mlb.com/player/607385
Chris Gimenez,C,MIN,--,3,6,0,0,0,0,1,0,1,0,0,.000,.250,.000,.250,https://www.mlb.com/player/460269
Josh Phegley,C,OAK,--,3,2,0,0,0,0,1,1,1,0,0,.000,.250,.000,.250,https://www.mlb.com/player/572033
Mark Canha,RF,OAK,--,3,2,0,0,0,0,1,0,1,0,0,.000,.250,.000,.250,https://www.mlb.com/player/592192
Rickie Weeks Jr.,1B,TB,--,3,3,0,0,0,0,1,1,3,0,0,.000,.250,.000,.250,https://www.mlb.com/player/430001
Derek Norris,C,TB,--,8,2,1,0,0,0,1,0,4,0,0,.125,.125,.125,.250,https://www.mlb.com/player/519083
Kevin Pillar,CF,TOR,--,11,11,1,0,0,0,4,1,2,0,0,.091,.143,.091,.234,https://www.mlb.com/player/607680
R.A. Dickey,P,ATL,--,9,0,1,0,0,0,5,0,0,0,0,.111,.111,.111,.222,https://www.mlb.com/player/285079
Mikie Mahtook,CF,DET,--,9,5,1,0,0,0,3,0,5,0,0,.111,.111,.111,.222,https://www.mlb.com/player/543484
Denard Span,CF,SF,--,9,10,1,0,0,0,2,0,1,0,0,.111,.111,.111,.222,https://www.mlb.com/player/452655
Jeff Mathis,C,ARI,--,4,0,0,0,0,0,1,1,2,0,0,.000,.200,.000,.200,https://www.mlb.com/player/425772
Gregor Blanco,LF,ARI,--,10,5,1,0,0,0,2,0,2,0,0,.100,.100,.100,.200,https://www.mlb.com/player/453923
Josh Rutledge,3B,BOS,--,4,3,0,0,0,0,2,1,1,0,0,.000,.200,.000,.200,https://www.mlb.com/player/592710
Brandon Nimmo,CF,NYM,--,3,2,0,0,0,0,3,1,1,0,0,.000,.200,.000,.200,https://www.mlb.com/player/607043
Andres Blanco,3B,PHI,--,3,2,0,0,0,0,2,1,2,0,0,.000,.200,.000,.200,https://www.mlb.com/player/433217
Gio Gonzalez,P,WSH,--,4,2,0,0,0,0,1,1,3,0,0,.000,.200,.000,.200,https://www.mlb.com/player/461829
Tim Anderson,SS,CWS,--,11,5,1,0,0,0,3,0,6,0,0,.091,.091,.091,.182,https://www.mlb.com/player/641313
Brad Miller,2B,TB,--,9,8,0,0,0,0,5,2,5,0,0,.000,.182,.000,.182,https://www.mlb.com/player/543543
Chad Pinder,SS,OAK,--,5,8,0,0,0,0,1,1,5,0,0,.000,.167,.000,.167,https://www.mlb.com/player/640461
Guillermo Heredia,LF,SEA,--,5,12,0,0,0,0,1,0,3,0,0,.000,.167,.000,.167,https://www.mlb.com/player/628338
Byron Buxton,CF,MIN,--,12,10,1,0,0,0,2,0,9,0,0,.083,.077,.083,.160,https://www.mlb.com/player/621439
Gregory Polanco,RF,PIT,--,13,8,1,0,0,0,3,0,3,0,0,.077,.077,.077,.154,https://www.mlb.com/player/570256
